ID,t0,t,x,y,z,FI,TL
142,1,1,268.63312,554.51715,11.901024,399.2,99
142,1,2,269.00574,554.402,12.363909,445.5,99
142,1,3,269.127,554.07855,12.61492,443.2,99
142,1,4,268.80334,554.10895,12.798374,433.5,99
142,1,5,269.4179,554.14655,12.6069565,482.8,99
142,1,6,269.46057,553.8458,12.520613,428.5,99
142,1,7,269.0929,553.2757,12.890965,456.8,99
142,1,8,269.03244,553.2937,13.095582,456.5,99
142,1,9,268.99084,553.22675,12.837236,476.0,99
142,1,10,269.15524,552.79846,12.049672,501.5,99
142,1,11,269.09488,553.0519,12.232704,440.2,99
142,1,12,269.3453,552.17334,12.112294,520.0,99
142,1,13,268.69003,551.8929,11.782126,380.5,99
142,1,14,268.58655,551.1409,11.015088,364.8,99
142,1,15,268.37378,550.6811,11.847231,387.8,99
142,1,16,268.23856,550.0313,11.889353,394.0,99
142,1,17,267.9791,549.41614,11.6514435,381.2,99
142,1,18,267.699,549.4542,11.442216,405.5,99
142,1,19,267.7002,549.1717,11.118417,434.2,99
142,1,20,268.00906,548.57605,12.363716,285.2,99
142,1,21,268.20245,547.90643,12.118876,296.2,99
142,1,22,267.86374,547.3893,12.37869,351.8,99
142,1,23,268.68726,546.8284,12.450621,354.2,99
142,1,24,268.27832,546.4572,11.942734,356.5,99
142,1,25,267.89172,546.2932,11.862004,371.8,99
142,1,26,267.62646,545.1256,11.042448,401.8,99
142,1,27,267.6995,545.19904,11.362334,398.0,99
142,1,28,267.4533,545.1536,11.571936,416.0,99
142,1,29,268.22894,545.7226,12.151031,405.8,99
142,1,30,267.50983,545.345,11.464513,418.8,99
142,1,31,268.3473,544.59204,12.252592,379.8,99
142,1,32,268.41302,545.2538,12.682729,407.0,99
142,1,33,268.28967,544.6448,12.573241,420.5,99
142,1,34,268.31674,544.41895,12.697143,473.5,99
142,1,35,268.7288,544.3883,11.9996,491.8,99
142,1,36,268.23636,544.621,11.579232,582.0,99
142,1,37,267.6357,544.54755,11.840452,479.5,99
142,1,38,268.18732,544.7456,11.83033,523.0,99
142,1,39,267.50388,543.7871,11.590509,523.0,99
142,1,40,267.4213,544.2383,10.916448,540.0,99
142,1,41,267.61923,543.9845,11.383969,542.5,99
142,1,42,267.85233,544.0115,11.004976,511.5,99
142,1,43,268.2134,544.02234,11.348312,467.0,99
142,1,44,268.4818,543.97217,11.021215,424.5,99
142,1,45,268.08817,544.40344,11.1046915,324.2,99
142,1,46,269.17914,543.5135,11.755076,297.8,99
142,1,47,268.29288,543.52704,11.726934,344.5,99
142,1,48,268.034,543.4695,10.764591,341.5,99
142,1,49,267.84265,543.3746,10.8541,300.0,99
142,1,50,268.10635,543.54083,11.001025,324.5,99
142,1,51,267.19296,544.17615,9.534455,283.2,99
142,1,52,267.2151,544.6379,10.649118,287.0,99
142,1,53,267.13165,543.78894,11.344103,347.5,99
