2,1,1,291.3,226.51,147.76,229.96,99
2,1,2,291.98,226.98,148.08,242.52,99
2,1,3,291.7,226.58,148.1,252.34,99
2,1,4,291.69,227.07,148.16,272.54,99
2,1,5,292.56,227.12,148.27,246.29,99
2,1,6,292.74,227.17,147.56,207.15,99
2,1,7,292.42,227.28,148,194.14,99
2,1,8,292.66,227.48,147.65,190.98,99
2,1,9,292.27,227.31,147.31,215.83,99
2,1,10,292.73,227.34,147.17,178.69,99
2,1,11,292.36,227.23,147.63,187.96,99
2,1,12,293.24,227.2,147.53,208.73,99
2,1,13,292.68,227.97,147.74,187.89,99
2,1,14,292.44,227.59,147.92,196.85,99
2,1,15,292.39,227.86,147.95,194.02,99
2,1,16,292.17,227.87,147.83,209.33,99
2,1,17,292.42,228.14,147.79,254.58,99
2,1,18,292.64,228.26,147.42,247.4,99
2,1,19,292.2,228.42,147.92,264.3,99
2,1,20,292.19,228.29,147.68,293.96,99
2,1,21,291.96,228.42,147.64,290.21,99
2,1,22,292.11,227.7,148.28,284.66,99
2,1,23,291.74,228.6,148.18,267.64,99
2,1,24,290.95,228.29,149.03,252.81,99
2,1,25,291.08,228.38,148.63,264.66,99
2,1,26,291.2,227.62,148.83,283.04,99
2,1,27,291.25,228.23,148.3,292.48,99
2,1,28,291.47,228.42,148.57,289.23,99
2,1,29,291.22,228.52,148.88,342.16,99
2,1,30,290.93,227.58,148.89,270.23,99
2,1,31,291.45,227.38,149.29,247.12,99
2,1,32,291.34,227.53,149.25,261.16,99
2,1,33,290.88,227.08,149.72,220.61,99
2,1,34,292.23,227.31,148.94,192.05,99
2,1,35,292.95,227.49,148.45,216.19,99
2,1,36,292.96,227.53,148.45,216.65,99
2,1,37,292.14,227.97,148.3,217.92,99
2,1,38,292.19,227.55,148.37,210.77,99
2,1,39,292.33,227.55,148.43,197.38,99
2,1,40,292.9,227.29,149.77,157.09,99
2,1,41,292.77,227.47,149.77,134.19,99
2,1,42,291.59,227.84,150.53,116.48,99
2,1,43,291.97,228.01,150.34,109,99
2,1,44,291.9,228.39,150,117.83,99
2,1,45,292.53,228.4,150.05,118.28,99
2,1,46,292,228.11,150.15,107.88,99
2,1,47,292.66,228.35,149.31,146.18,99
2,1,48,292.36,228.33,149.7,125.43,99
2,1,49,292.05,228.21,149.34,129.06,99
2,1,50,292.61,228.52,149.5,127.69,99
2,1,51,291.94,228.92,149.73,148.98,99
2,1,52,292.23,228.89,149.34,157.11,99
2,1,53,291.49,228.76,149.12,149.26,99
2,1,54,292.12,228.72,148.93,165.23,99
2,1,55,292.36,228.87,149.35,161.56,99
2,1,56,291.92,229.34,148.88,154.15,99
2,1,57,291.68,229.23,149.6,149.18,99
2,1,58,291.91,229.34,149.44,151.2,99
2,1,59,292.18,229.9,149.5,156.6,99
2,1,60,292.25,229.77,149.46,149.54,99
2,1,61,292.3,229.74,149.56,151.31,99
2,1,62,292.4,229.96,150.02,127.93,99
2,1,63,293.15,230.18,149.34,165.28,99
2,1,64,291.92,229.79,149.35,158.1,99
2,1,65,292.08,230.09,149.25,140.72,99
2,1,66,292.21,230.05,149.88,129.98,99
2,1,67,292.18,230.01,149.47,156.16,99
2,1,68,292.14,230.22,149.65,165.24,99
2,1,69,292.3,230.1,149.35,181.71,99
2,1,70,291.68,230.13,149.7,211.02,99
2,1,71,292.37,230.05,149.55,174.24,99
2,1,72,291.53,230.15,149.66,164.18,99
2,1,73,291.34,229.41,150.3,136.24,99
2,1,74,291.7,229.14,149.96,160.51,99
2,1,75,291.56,228.83,150.05,166.92,99
2,1,76,291.11,229.16,149.96,185.18,99
2,1,77,291.25,229.2,150.08,191.03,99
2,1,78,290.58,229.16,150.34,180.63,99
2,1,79,290.39,229.18,150.7,200.38,99
2,1,80,291.39,228.67,149.9,214.33,99
2,1,81,290.54,229.03,150.68,194.78,99
2,1,82,290.29,229.1,150.66,176.66,99
2,1,83,289.95,229.19,151.45,162.83,99
2,1,84,289.16,228.79,151.11,159.28,99
2,1,85,289.5,228.71,151.81,157.96,99
2,1,86,289.86,228.85,151.04,160.87,99
2,1,87,289.34,228.91,151.15,179.44,99
2,1,88,289.85,229.17,150.66,199.61,99
2,1,89,289.61,229.15,151.33,178.25,99
2,1,90,289.86,229.18,150.86,194.77,99
2,1,91,289.8,229.27,150.72,183.1,99
2,1,92,289.85,228.68,151.24,187.54,99
2,1,93,289.81,229.2,150.67,194.89,99
2,1,94,289.32,229.17,150.46,190.11,99
2,1,95,289.73,229.7,150.73,187.74,99
2,1,96,289.56,229.12,150.34,240.49,99
2,1,97,289.8,229.3,150.37,196.28,99
2,1,98,290.39,228.99,150.62,206.09,99
2,1,99,290.42,228.72,150.46,192.98,99
3,1,1,316.53,152.07,132.56,240.35,99
3,1,2,316.55,152.28,132.72,297.32,99
3,1,3,316.82,151.7,132.47,302.48,99
3,1,4,317.03,152.4,132.76,325.4,99
3,1,5,316.97,151.81,132.96,305.49,99
3,1,6,316.78,151.89,132.83,320.51,99
3,1,7,316.31,152.14,133.43,310.71,99
3,1,8,317.55,152.16,133.5,261.81,99
3,1,9,317.13,151.81,133.45,261.74,99
3,1,10,316.97,151.98,133.52,267.37,99
3,1,11,316.23,152.02,133.79,256.33,99
3,1,12,316.13,150.4,133.13,268.26,99
3,1,13,315.73,149.82,133.9,253.23,99
3,1,14,317.91,150.21,132.96,173.28,99
3,1,15,317.6,150.83,133.19,160.32,99
3,1,16,317.37,150.86,133.08,202.52,99
3,1,17,316.56,151.68,133.19,223.29,99
3,1,18,316.11,151.49,133.15,254.15,99
3,1,19,315.99,151.78,132.91,244.97,99
3,1,20,316.5,151.54,133.08,249.39,99
3,1,21,316.7,151.47,133.57,259.45,99
3,1,22,316.35,150.58,133.69,270.59,99
3,1,23,316.22,151.38,132.75,330.67,99
3,1,24,316.24,151.6,133.36,305,99
3,1,25,316.18,151.72,133.34,323.44,99
3,1,26,316.03,151.71,133.44,328.02,99
3,1,27,315.8,151.74,133.42,330.86,99
3,1,28,315.89,151.88,133.32,370.04,99
3,1,29,315.79,151.84,133.32,396.17,99
3,1,30,315.55,151.89,133.16,375.35,99
3,1,31,316.35,151.81,133.37,333.02,99
3,1,32,316.32,151.98,133.37,323.7,99
3,1,33,315.85,152.06,133.54,340.99,99
3,1,34,316.04,151.9,133.44,349.15,99
3,1,35,316.25,151.72,133.58,370.09,99
3,1,36,316.32,152.53,133.8,376.65,99
3,1,37,316.24,152.28,133.37,367.32,99
3,1,38,316.11,152.18,133.31,399.75,99
3,1,39,316.11,152.56,133.56,397.44,99
3,1,40,316.26,152.77,133.8,397.3,99
3,1,41,316.37,152.47,133.31,383.35,99
3,1,42,315.98,152.57,134.02,390.11,99
3,1,43,316.14,152.52,133.91,402.8,99
3,1,44,315.4,152.73,133.83,397.61,99
3,1,45,315.98,152.75,133.79,426.23,99
3,1,46,315.79,152.37,134.09,415.11,99
3,1,47,315.52,152.66,133.97,462.33,99
3,1,48,315.35,152.51,134.35,449.75,99
