ID (CME),ID (Dino),Track Length (CME),Track Length (Dino),Match,Identical Match
[1010.0],[8854.0 12237.0 14837.0 24774.0],[31.0],[7.0 18.0 26.0 27.0],False,False
[1011.0],[338.0 13990.0],[31.0],[2.0 80.0],True,False
[1012.0],[7703.0 13042.0 14988.0 17757.0 21920.0],[31.0],[4.0 7.0 10.0 20.0 54.0],False,False
[1013.0],[13262.0 15344.0 17623.0 20604.0],[31.0],[8.0 16.0 19.0 30.0],False,False
[1014.0],"[13361.0 14942.0 15737.0 16131.0 16960.0 17296.0 18134.0 22585.0 23702.0
 24467.0 25157.0]",[31.0],[1.0 2.0 3.0 5.0 7.0 8.0 9.0 14.0 18.0],False,False
[1015.0],[5544.0 15382.0 24450.0],[31.0],[6.0 30.0 45.0],False,False
[1017.0],[17058.0 22040.0 25292.0 25823.0],[31.0],[12.0 14.0 19.0],True,False
[1018.0],"[10150.0 10969.0 17018.0 18549.0 18982.0 21968.0 22728.0 24115.0 24886.0
 25326.0 26018.0 26193.0]",[31.0],[4.0 6.0 10.0 11.0 12.0 15.0 20.0 21.0 34.0 51.0],False,False
[1019.0],"[9861.0 17274.0 20209.0 21443.0 21849.0 22946.0 26379.0 26690.0 26921.0
 27366.0]",[31.0],[1.0 2.0 3.0 4.0 6.0 7.0 23.0 61.0],False,False
[1020.0],[18529.0 19313.0 22989.0 24830.0],[31.0],[9.0 13.0 24.0],False,False
[1021.0],"[9861.0 17747.0 18837.0 20658.0 21039.0 22953.0 22999.0 23341.0 26379.0
 26921.0 27366.0 28109.0]",[31.0],[1.0 2.0 4.0 7.0 10.0 11.0 15.0 61.0],False,False
[1022.0],"[15049.0 15813.0 16975.0 20281.0 20713.0 20739.0 23480.0 26966.0 27209.0
 27669.0 28375.0]",[31.0],[1.0 2.0 3.0 4.0 12.0 14.0 15.0 24.0],False,False
[1023.0],[14903.0 15743.0 20241.0 28335.0],[31.0],[5.0 25.0 32.0 43.0],True,False
[1024.0],"[14533.0 17286.0 18146.0 20306.0 22985.0 23733.0 24497.0 26443.0 27224.0
 27389.0 28344.0 28791.0 29114.0]",[31.0],[1.0 2.0 3.0 4.0 6.0 12.0 15.0 17.0],False,False
[1025.0],[21051.0 26162.0],[31.0],[16.0 26.0],True,False
[1026.0],[9861.0 21443.0 21849.0 22946.0 26379.0 26921.0 27905.0 28109.0 28926.0],[31.0],[1.0 2.0 4.0 6.0 7.0 9.0 61.0],False,False
[1027.0],[20133.0 20958.0 26659.0],[31.0],[13.0 14.0 23.0],False,False
[1028.0],[5526.0 20606.0 21785.0 26883.0],[31.0],[2.0 13.0 16.0 81.0],False,False
[1029.0],"[15223.0 17964.0 21220.0 21236.0 22785.0 23161.0 23200.0 24282.0 25851.0
 27486.0 27504.0]",[31.0],[3.0 4.0 5.0 6.0 9.0 10.0 11.0 17.0 43.0],False,False
[1030.0],[115.0],[30.0],[43.0],True,False
[1031.0],[139.0 203.0 2523.0],[30.0],[11.0 25.0 57.0],False,False
[1032.0],[354.0],[30.0],[31.0],True,False
[1033.0],[512.0 7903.0],[30.0],[30.0 47.0],True,False
[1034.0],[568.0],[30.0],[31.0],True,False
[1035.0],[697.0 3444.0 3839.0],[30.0],[10.0 11.0 21.0],True,False
[1036.0],[759.0],[30.0],[36.0],True,False
[1037.0],[686.0 7421.0],[30.0],[5.0 41.0],True,False
[1038.0],[1192.0 1198.0 3078.0 5633.0 7741.0],[30.0],[5.0 6.0 8.0 18.0 43.0],False,False
