z,y,x,t,intensity_raw,total_intensity,feature_0,feature_1,feature_2,norm,particle,t_starting,track_length,t_end,ID
2.4528644,339.698,265.59592,0,131.5,42215.145,6.41,-7.81,-5.297,11.41,18,0,97,96,18
4.6879697,339.38617,266.00256,1,77.0,16862.785,8.06,-8.59,-2.28,12.01,18,0,97,96,18
4.703199,338.9871,265.4048,2,76.56,16845.963,9.1,-10.5,-3.182,14.25,18,0,97,96,18
4.712549,338.6381,266.39996,3,59.47,7553.9644,11.07,-11.81,-3.857,16.64,18,0,97,96,18
4.5108604,338.99597,266.7067,4,73.1,15210.424,11.67,-12.65,-3.107,17.5,18,0,97,96,18
4.898892,338.99707,266.39633,5,67.7,13877.863,9.33,-10.44,-3.688,14.48,18,0,97,96,18
4.550703,339.26526,265.83447,6,75.9,21926.312,8.81,-10.47,-3.297,14.08,18,0,97,96,18
4.613277,339.45294,266.25473,7,73.25,18899.559,7.996,-9.914,-4.086,13.38,18,0,97,96,18
4.8805695,339.7862,266.89114,8,78.7,17313.14,10.28,-12.375,-3.674,16.5,18,0,97,96,18
5.0422134,339.22086,266.7254,9,79.7,17690.043,8.664,-11.61,-4.33,15.12,18,0,97,96,18
4.781047,339.6495,266.9844,10,69.6,13090.881,8.37,-12.19,-3.967,15.305,18,0,97,96,18
4.9190645,339.6608,266.5695,11,70.8,12892.022,8.24,-13.22,-3.13,15.89,18,0,97,96,18
4.7766585,340.69638,266.51364,12,63.97,11260.811,8.65,-14.0,-5.027,17.2,18,0,97,96,18
4.7798147,340.58136,266.77383,13,73.2,15951.63,6.797,-12.23,-4.17,14.6,18,0,97,96,18
4.5216866,340.63583,267.02676,14,66.3,12999.258,7.22,-13.75,-4.875,16.28,18,0,97,96,18
4.5039616,339.16864,266.45148,15,53.06,7799.54,9.66,-16.0,-3.533,19.02,18,0,97,96,18
4.438825,339.64734,266.1727,16,62.1,9502.33,9.125,-15.58,-4.92,18.72,18,0,97,96,18
4.4672403,339.30743,266.3194,17,63.97,13240.588,6.85,-12.47,-4.44,14.91,18,0,97,96,18
4.3548937,339.4785,266.01776,18,59.62,12580.565,6.06,-11.586,-4.566,13.85,18,0,97,96,18
4.4150524,339.72223,266.2254,19,63.84,14621.06,7.363,-13.94,-4.86,16.5,18,0,97,96,18
4.3565955,339.6798,266.08762,20,57.2,9493.172,9.305,-16.56,-4.35,19.48,18,0,97,96,18
4.6637797,339.9657,265.66983,21,59.53,12976.313,7.016,-12.62,-5.33,15.39,18,0,97,96,18
4.538803,340.48175,265.9295,22,58.16,11573.482,7.457,-12.2,-5.355,15.27,18,0,97,96,18
4.5005655,340.7396,265.95868,23,57.53,10410.771,8.95,-13.38,-5.57,17.03,18,0,97,96,18
4.659604,341.5421,265.95694,24,58.2,9541.113,10.07,-14.195,-4.95,18.1,18,0,97,96,18
4.552536,340.95767,266.27594,25,61.88,13303.828,6.477,-12.58,-5.637,15.234,18,0,97,96,18
4.591543,341.107,265.97824,26,62.38,11041.949,9.83,-11.47,-5.445,16.05,18,0,97,96,18
4.5137863,340.47015,265.96066,27,53.88,10021.256,9.56,-14.12,-5.707,17.98,18,0,97,96,18
4.284388,340.56616,266.18243,28,59.1,10516.383,14.336,-15.914,-3.951,21.78,18,0,97,96,18
4.2843924,339.4075,265.62418,29,54.78,11120.523,8.57,-13.79,-5.887,17.27,18,0,97,96,18
4.5862885,338.70444,266.16797,30,53.88,12389.691,7.96,-12.58,-5.453,15.85,18,0,97,96,18
4.9226756,338.45654,266.05313,31,67.44,17595.973,8.79,-9.086,-4.84,13.53,18,0,97,96,18
4.687229,337.5445,266.3582,32,64.5,14775.227,11.24,-9.93,-4.805,15.75,18,0,97,96,18
4.764382,337.3894,266.11847,33,65.56,21052.475,8.17,-10.1,-5.215,14.0,18,0,97,96,18
4.458464,336.832,265.97958,34,65.44,17202.816,8.766,-11.92,-5.06,15.64,18,0,97,96,18
4.1747994,337.25613,265.87332,35,62.62,16662.3,12.24,-11.51,-4.32,17.34,18,0,97,96,18
4.523188,336.92532,265.6273,36,62.56,19578.635,7.58,-9.8,-5.133,13.414,18,0,97,96,18
4.4067397,337.6645,266.0272,37,61.53,19014.54,10.85,-12.25,-5.01,17.12,18,0,97,96,18
4.592299,337.7335,265.8912,38,61.38,15836.741,11.016,-11.49,-4.883,16.66,18,0,97,96,18
4.807463,338.66348,265.8848,39,64.06,15701.283,10.05,-12.0,-4.68,16.34,18,0,97,96,18
4.575685,338.84778,265.79022,40,57.88,10476.808,11.78,-13.08,-4.71,18.22,18,0,97,96,18
4.879799,338.47394,265.6115,41,57.16,14290.683,11.086,-11.65,-5.145,16.88,18,0,97,96,18
