z,y,x,t,intensity_raw,total_intensity,feature_0,feature_1,feature_2,norm,particle,t_starting,track_length,t_end,ID
2.6853774,339.6997,265.60117,0,122.75,48613.613,4.445,-6.27,-4.95,9.14,23,0,97,96,23
4.732482,339.40054,266.0738,1,71.44,23652.758,7.67,-12.07,-2.697,14.555,23,0,97,96,23
4.7624197,339.01978,265.52725,2,70.5,23975.168,9.305,-12.33,-3.398,15.81,23,0,97,96,23
4.8932233,338.7261,266.34134,3,57.75,14722.944,11.5,-12.98,-4.36,17.88,23,0,97,96,23
4.624,339.07492,266.65646,4,65.44,26163.26,10.984,-12.64,-2.676,16.97,23,0,97,96,23
4.9034204,339.04315,266.35916,5,62.4,22720.01,9.22,-12.805,-3.994,16.28,23,0,97,96,23
4.5497875,339.2399,265.87082,6,70.3,26653.535,8.45,-10.51,-4.26,14.14,23,0,97,96,23
4.4898257,339.48215,266.2535,7,69.06,22178.13,7.664,-12.47,-4.67,15.37,23,0,97,96,23
4.9258146,339.82993,266.96698,8,70.7,21567.604,10.26,-14.42,-3.863,18.12,23,0,97,96,23
5.060921,339.22696,266.84067,9,73.25,22201.11,8.35,-13.82,-4.75,16.83,23,0,97,96,23
4.806922,339.55533,267.0207,10,63.28,18221.207,8.414,-15.414,-4.47,18.12,23,0,97,96,23
4.989961,339.63275,266.72946,11,64.3,17629.96,8.2,-15.945,-3.328,18.23,23,0,97,96,23
4.778234,340.62463,266.6388,12,58.03,15435.971,9.57,-17.53,-5.484,20.7,23,0,97,96,23
4.734458,340.5656,266.8163,13,67.25,19630.887,6.234,-14.8,-4.68,16.73,23,0,97,96,23
4.573363,340.66248,267.02652,14,60.03,17169.893,6.82,-16.84,-4.91,18.83,23,0,97,96,23
4.589141,339.17328,266.58078,15,49.9,11126.302,10.92,-18.7,-3.916,22.0,23,0,97,96,23
4.455389,339.5307,266.30875,16,57.03,14202.406,10.83,-19.3,-5.523,22.8,23,0,97,96,23
4.4036922,339.29547,266.27344,17,57.44,17346.197,6.105,-16.22,-4.805,17.98,23,0,97,96,23
4.2823844,339.44348,266.08624,18,56.1,15367.1875,5.28,-15.234,-5.14,16.92,23,0,97,96,23
4.4463186,339.72714,266.311,19,57.47,17931.264,7.688,-15.98,-5.254,18.48,23,0,97,96,23
4.4067817,339.6456,266.2075,20,53.38,12544.309,11.35,-17.77,-4.5,21.56,23,0,97,96,23
4.680233,339.9152,265.73914,21,53.78,17371.307,7.355,-15.38,-5.082,17.8,23,0,97,96,23
4.571825,340.43332,265.95517,22,53.0,15422.45,7.367,-15.33,-5.4,17.84,23,0,97,96,23
4.508701,340.726,266.05246,23,50.34,14950.348,10.64,-16.33,-5.438,20.23,23,0,97,96,23
4.6497,341.4525,265.99295,24,55.03,14251.16,11.016,-15.836,-4.773,19.88,23,0,97,96,23
4.518536,340.9138,266.3503,25,55.47,16249.229,7.547,-15.6,-5.656,18.23,23,0,97,96,23
4.585407,341.05255,266.00934,26,55.3,15101.285,12.43,-12.98,-4.965,18.64,23,0,97,96,23
4.5364184,340.42706,266.0893,27,52.34,12356.629,10.07,-15.04,-5.79,19.0,23,0,97,96,23
4.223779,340.5548,266.15854,28,51.22,14241.282,19.22,-13.79,-4.57,24.1,23,0,97,96,23
4.276991,339.40997,265.8058,29,49.9,14027.908,10.71,-15.125,-6.266,19.56,23,0,97,96,23
4.6965947,338.71033,266.24756,30,47.62,17091.9,9.23,-12.05,-5.977,16.31,23,0,97,96,23
4.9605403,338.55743,266.13422,31,59.16,23726.582,11.91,-4.89,-5.254,13.9,23,0,97,96,23
4.6989226,337.6193,266.41513,32,57.94,20331.324,12.69,-4.184,-5.426,14.42,23,0,97,96,23
4.81732,337.41177,266.17593,33,59.78,24394.957,9.52,-5.17,-5.613,12.2,23,0,97,96,23
4.474792,336.82962,265.99936,34,56.0,20833.479,12.516,-5.484,-5.418,14.7,23,0,97,96,23
4.1802244,337.30185,266.00067,35,57.56,19630.285,-15.45,-3.533,-4.707,16.53,23,0,97,96,23
4.541839,336.96393,265.84546,36,58.12,24641.28,-9.555,-3.643,-5.57,11.65,23,0,97,96,23
4.5297437,337.72238,266.2241,37,56.9,23277.988,-12.375,-5.754,-5.836,14.84,23,0,97,96,23
4.674749,337.7647,265.9725,38,55.3,20792.082,-13.12,-4.39,-5.66,14.945,23,0,97,96,23
4.8221335,338.73447,265.95068,39,54.5,22021.246,-13.76,-5.94,-5.336,15.91,23,0,97,96,23
4.6400166,338.91586,265.84494,40,46.66,15767.175,-17.2,-6.56,-5.43,19.2,23,0,97,96,23
4.831075,338.57233,265.65836,41,48.66,20338.096,-14.4,-5.324,-5.5,16.31,23,0,97,96,23
4.631611,338.36606,265.52332,42,53.2,24093.158,-10.17,-3.596,-5.938,12.31,23,0,97,96,23
4.6794095,337.78973,265.56067,43,53.47,26417.648,-12.94,-4.79,-4.766,14.59,23,0,97,96,23
4.9447713,336.9579,265.56418,44,56.2,26634.43,-11.24,-2.258,-5.816,12.86,23,0,97,96,23
5.0125194,336.29254,265.85715,45,56.53,27138.162,-11.58,-3.39,-5.242,13.16,23,0,97,96,23
4.9074187,336.76266,265.74823,46,64.5,28453.418,-11.86,-3.754,-5.645,13.664,23,0,97,96,23
4.891219,336.3006,265.68536,47,58.9,25922.54,-10.98,-3.23,-5.965,12.91,23,0,97,96,23
5.0636883,335.9595,265.69968,48,57.56,27337.85,-13.6,-4.008,-5.42,15.18,23,0,97,96,23
5.011926,335.7935,265.6552,49,53.97,37084.45,-10.016,-5.84,-4.69,12.51,23,0,97,96,23
5.300589,336.61597,265.4515,50,54.47,24073.988,-15.68,-5.04,-4.77,17.14,23,0,97,96,23
4.835717,336.99228,265.4617,51,51.5,24828.742,-12.305,-2.531,-6.074,13.95,23,0,97,96,23
