ID (GT),Track Length (GT),Track Coverage,Missing Time Points,Dino Data
1080,5.0,5,[],"3729,1,4.0;3730,2,13.0;3225,3,32.0;4018,4,35.0"
1081,19.0,19,[],"3843,1,21.0"
1082,11.0,10,[24.0],"3860,1,5.0;3610,2,19.0"
1083,21.0,21,[],"2632,1,26.0;2872,2,57.0;3153,17,60.0"
1084,7.0,7,[],"3787,1,19.0"
1085,10.0,10,[],"1895,1,7.0;3192,2,21.0;3571,3,6.0;3931,4,17.0"
1086,15.0,15,[],"727,1,54.0"
1087,43.0,43,[],"777,1,73.0;4103,9,6.0;3347,11,21.0;204,15,59.0;5351,17,19.0;204,20,59.0;5488,30,38.0;5454,41,18.0"
1088,36.0,35,[59.0],"2772,1,45.0;5656,34,17.0;5063,35,12.0;5656,36,17.0"
1089,15.0,15,[],"2727,1,17.0;619,8,47.0"
1090,4.0,4,[],"2903,1,22.0"
1091,23.0,23,[],"3520,1,49.0;3621,5,33.0;2265,6,17.0;2266,7,14.0;2966,8,29.0;2266,13,14.0;4494,14,12.0"
1092,19.0,19,[],"3580,1,4.0;2735,2,14.0;2648,4,13.0;3949,8,17.0"
1093,16.0,16,[],"653,1,28.0"
1094,42.0,41,[41.0],"1567,1,17.0;3964,2,15.0;3782,17,28.0;2914,18,22.0;3361,19,46.0;2914,36,22.0;7357,37,24.0"
1095,12.0,9,"[31.0, 32.0, 33.0]","2257,1,14.0;4265,2,37.0;3513,3,8.0;3233,5,20.0;4720,6,20.0;3394,7,20.0"
1096,36.0,36,[],"2853,1,15.0;114,2,26.0;3987,3,42.0;972,26,56.0"
1097,10.0,9,[24.0],"560,1,60.0;3949,2,17.0;2648,6,13.0"
1098,34.0,34,[],"3384,1,30.0;835,13,57.0"
1099,26.0,26,[],"3788,1,27.0;3782,4,28.0;3955,5,4.0;4254,6,36.0;4255,7,15.0;4254,12,36.0;4457,19,17.0"
1100,18.0,18,[],"127,1,34.0;132,14,33.0;4931,15,5.0;4287,16,19.0"
1101,8.0,7,[24.0],"3800,1,11.0;1949,2,14.0"
1102,18.0,18,[],"2296,1,15.0;3980,2,21.0"
1103,6.0,6,[],"1037,1,32.0;1981,2,23.0;3067,6,5.0"
1104,38.0,38,[],"725,1,27.0;3323,14,42.0;3677,24,21.0;5314,25,48.0"
1105,24.0,23,[43.0],"3500,1,49.0;3584,13,37.0;3852,19,38.0;5032,21,7.0"
1106,44.0,44,[],"1840,1,66.0;3389,9,24.0;3591,23,26.0;4074,24,11.0;3591,27,26.0;1840,28,66.0"
1107,14.0,14,[],"3261,1,36.0"
1108,28.0,28,[],"3658,1,11.0;4016,2,52.0"
1109,32.0,32,[],"3097,1,21.0;4621,12,22.0;3314,13,18.0;4508,14,19.0;2467,15,18.0;5440,16,11.0;4509,17,17.0;4508,19,19.0"
1110,12.0,12,[],"6277,1,35.0"
1111,4.0,4,[],"642,1,26.0"
1112,5.0,5,[],"3517,1,10.0"
1113,6.0,6,[],"3087,1,46.0"
1114,5.0,5,[],"6145,1,8.0"
1115,11.0,11,[],"2006,1,19.0;4006,2,22.0"
1116,12.0,11,[33.0],"1304,1,57.0;2592,5,14.0;1304,7,57.0"
1117,5.0,5,[],"3910,1,12.0"
1118,8.0,8,[],"3976,1,8.0"
1119,10.0,10,[],"3064,1,9.0;2785,3,19.0;4260,5,20.0;3121,7,8.0"
1120,13.0,13,[],"1140,1,22.0;1260,3,27.0"
1121,13.0,13,[],"2853,1,15.0;3007,2,21.0;114,3,26.0"
1122,15.0,15,[],"1767,1,22.0;4782,15,7.0"
1123,4.0,2,"[25.0, 28.0]","2304,1,7.0;2685,2,12.0;2535,3,18.0"
1124,9.0,9,[],"3914,1,10.0"
1125,9.0,9,[],"3008,1,25.0"
1126,10.0,10,[],"3701,1,7.0;3375,5,7.0;2780,6,20.0;3699,7,5.0;3373,8,12.0"
1127,29.0,29,[],"2346,1,13.0;4288,2,8.0;2515,5,37.0"
1128,19.0,18,[42.0],"3134,1,28.0;3261,18,36.0;3134,19,28.0"
1129,6.0,4,"[27.0, 28.0]","3890,1,5.0;644,3,31.0"
1130,6.0,6,[],"2947,1,11.0;4197,6,37.0"
1131,8.0,8,[],"3540,1,5.0;693,2,26.0"
1132,11.0,11,[],"1037,1,32.0;634,2,26.0"
1133,17.0,17,[],"1787,1,21.0;5137,2,4.0;179,3,48.0;5821,17,7.0"
1134,24.0,23,[58.0],"4450,1,23.0;6158,20,8.0;4209,21,28.0;6962,22,22.0;6614,23,15.0;5757,24,16.0"
1135,11.0,11,[],"1916,1,26.0"
1136,12.0,12,[],"1058,1,35.0;2552,2,45.0;1975,3,37.0;1976,4,16.0;1975,6,37.0;1058,7,35.0"
1137,6.0,6,[],"3950,1,9.0"
1138,66.0,66,[],"3937,1,12.0;4290,11,11.0;2239,14,71.0;8822,59,18.0"
1139,4.0,4,[],"3650,1,47.0"
1140,4.0,4,[],"3839,1,41.0;161,4,26.0"
1141,8.0,8,[],"3160,1,7.0;4099,2,9.0;2431,4,18.0"
1142,10.0,10,[],"3760,1,13.0"
1143,4.0,4,[],"3988,1,37.0;1332,4,24.0"
1144,13.0,13,[],"2301,1,22.0"
1145,10.0,10,[],"4198,1,8.0;3164,3,17.0;1342,5,38.0"
1146,25.0,25,[],"826,1,51.0;5514,25,31.0"
1147,6.0,6,[],"696,1,34.0"
1148,16.0,16,[],"1487,1,66.0"
1149,21.0,21,[],"4048,1,21.0"
1150,11.0,11,[],"3518,1,28.0"
1151,32.0,31,[87.0],"8084,1,23.0;5233,7,41.0;8879,19,10.0;7932,20,13.0;9562,22,9.0;10227,23,5.0;8033,24,13.0;8879,25,10.0;9914,26,9.0"
1152,51.0,50,[70.0],"3520,1,49.0;7926,31,23.0;10277,51,4.0"
1153,4.0,4,[],"626,1,52.0"
1154,31.0,29,"[27.0, 38.0]","2358,1,45.0;3017,2,47.0;4263,5,4.0;626,6,52.0;4263,11,4.0;3925,12,13.0;593,13,26.0;5453,15,17.0"
1155,12.0,12,[],"3112,1,30.0;566,11,51.0;4366,12,8.0"
1156,29.0,29,[],"3989,1,43.0"
1157,9.0,9,[],"2006,1,19.0;4004,2,22.0;4511,3,29.0;4004,5,22.0"
1158,11.0,11,[],"2948,1,21.0"
1159,7.0,7,[],"3639,1,4.0;3900,2,6.0;447,3,27.0;3723,4,54.0"
1160,25.0,25,[],"2962,1,6.0;46,2,44.0;2642,8,18.0;4175,9,5.0;5046,10,7.0;669,16,54.0;1779,17,16.0;3192,18,21.0"
1161,17.0,16,[54.0],"5065,1,39.0"
1162,4.0,4,[],"4681,1,10.0;5736,2,4.0"
1163,25.0,25,[],"3800,1,11.0;1828,3,63.0"
1164,15.0,15,[],"3828,1,56.0;4393,8,11.0"
1165,18.0,18,[],"2741,1,47.0"
1166,25.0,25,[],"2288,1,50.0"
1167,19.0,19,[],"1158,1,58.0;1258,8,23.0;739,9,27.0"
1168,22.0,22,[],"3389,1,24.0;1840,4,66.0;4075,5,23.0;1840,6,66.0"
1169,62.0,62,[],"3009,1,78.0;4164,13,6.0;5177,14,7.0;3009,15,78.0;7344,55,22.0;6643,56,25.0;9645,57,10.0"
1170,13.0,13,[],"3741,1,5.0;3852,2,38.0;756,3,17.0;3852,4,38.0;3185,5,74.0;4521,6,21.0;764,13,22.0"
1171,10.0,10,[],"1037,1,32.0;4748,10,7.0"
1172,29.0,29,[],"1732,1,45.0"
1173,20.0,20,[],"3225,1,32.0;2730,2,29.0;3412,18,27.0"
1174,5.0,2,"[29.0, 30.0, 31.0]","3307,1,36.0;4288,5,8.0"
1175,19.0,19,[],"3640,1,50.0"
1176,8.0,8,[],"482,1,22.0;201,2,26.0;195,3,18.0;201,4,26.0;720,5,26.0"
1177,42.0,42,[],"2059,1,18.0;3446,2,42.0;1953,11,40.0;6219,23,13.0;5923,24,15.0;3446,25,42.0;4060,26,29.0;4062,39,40.0"
1178,22.0,22,[],"4091,1,26.0"
1179,12.0,12,[],"1599,1,75.0"
1180,19.0,19,[],"3696,1,5.0;2852,2,11.0;3044,3,22.0"
1181,5.0,5,[],"3841,1,8.0"
1182,72.0,72,[],"4148,1,30.0;5218,27,34.0;7276,51,20.0;7937,62,23.0;9460,63,12.0;7840,65,29.0"
1183,21.0,21,[],"4187,1,18.0;4793,9,4.0;2975,10,58.0;5186,11,7.0;5387,12,10.0;5520,13,23.0;4308,16,8.0;5900,17,7.0"
1184,12.0,12,[],"4150,1,44.0;4957,12,4.0"
1185,6.0,6,[],"1310,1,31.0"
1186,5.0,5,[],"2770,1,19.0"
1187,22.0,21,[43.0],"3164,1,17.0;4199,7,11.0;1342,8,38.0;4247,10,42.0;5844,17,9.0"
1188,6.0,6,[],"5493,1,20.0"
1189,25.0,24,[63.0],"5829,1,19.0;5324,15,22.0;6071,17,10.0;7599,18,11.0;6640,19,10.0;4097,20,30.0"
1190,16.0,16,[],"2628,1,18.0;3249,2,17.0;4280,3,14.0;3249,5,17.0;4614,6,5.0;3249,7,17.0"
1191,4.0,4,[],"194,1,28.0"
1192,60.0,57,"[31.0, 32.0, 33.0]","813,1,15.0;4159,2,17.0;564,3,68.0;4446,4,8.0;2575,5,25.0;3769,6,5.0;564,7,68.0;8824,51,4.0;8821,52,20.0;7201,53,17.0;6591,54,25.0"
1193,22.0,22,[],"746,1,51.0;1541,22,43.0"
1194,23.0,23,[],"3837,1,19.0;4038,16,47.0"
1195,12.0,12,[],"3007,1,21.0"
1196,10.0,10,[],"3911,1,14.0"
1197,15.0,15,[],"3653,1,46.0;5185,14,12.0;3727,15,10.0"
1198,5.0,5,[],"4073,1,13.0"
1199,40.0,40,[],"4149,1,26.0;2367,2,26.0;4149,12,26.0;5507,24,23.0;6756,37,6.0;6956,38,4.0;6756,40,6.0"
1200,4.0,4,[],"3303,1,35.0"
1201,9.0,9,[],"3710,1,12.0;3077,7,16.0"
1202,17.0,17,[],"272,1,28.0;4017,2,14.0;4323,3,9.0;4017,6,14.0;2161,13,20.0;5620,14,40.0"
1203,33.0,33,[],"2508,1,19.0;4537,3,11.0;4925,4,5.0;3124,5,23.0;5857,15,11.0;4992,16,20.0;5857,17,11.0;4992,18,20.0"
1204,8.0,8,[],"3190,1,21.0"
1205,23.0,23,[],"4183,1,25.0"
1206,35.0,35,[],"4145,1,23.0;304,14,68.0"
1207,32.0,32,[],"3290,1,14.0;4694,13,27.0;4858,14,44.0;757,15,42.0;5514,19,31.0;4858,20,44.0;4586,23,37.0"
1208,13.0,13,[],"4003,1,12.0;2006,2,19.0;4004,3,22.0;4420,4,47.0;3707,6,12.0;4511,9,29.0"
1209,4.0,4,[],"3825,1,8.0"
1210,26.0,26,[],"3256,1,36.0;4894,17,34.0"
1211,6.0,5,[66.0],"7093,1,15.0;7608,2,13.0;7764,3,19.0;7902,4,7.0;8090,5,11.0"
1212,11.0,11,[],"4426,1,21.0"
1213,13.0,13,[],"561,1,30.0;1369,12,21.0;2229,13,13.0"
1214,5.0,5,[],"2358,1,45.0;3996,3,13.0;4539,5,24.0"
1215,32.0,32,[],"3747,1,4.0;3574,2,23.0;4995,8,51.0;4707,25,16.0;5282,26,33.0;6100,27,12.0"
1216,32.0,31,[37.0],"4249,1,4.0;2218,3,27.0;285,4,22.0;2218,8,27.0;4416,9,13.0;1550,10,15.0;2396,11,17.0;4221,14,27.0"
1217,23.0,23,[],"4296,1,31.0;2101,4,22.0;4295,13,15.0"
1218,27.0,26,[40.0],"3783,1,7.0;3768,5,4.0;4230,6,9.0;2975,13,58.0"
1219,20.0,20,[],"3846,1,8.0;1973,2,11.0;3137,3,12.0;2263,4,23.0;3137,16,12.0;1327,17,47.0;5552,20,32.0"
1220,4.0,4,[],"3449,1,12.0;2383,2,13.0"
1221,12.0,12,[],"1620,1,24.0"
1222,4.0,4,[],"2390,1,17.0;3962,3,5.0;2088,4,15.0"
1223,4.0,4,[],"4066,1,12.0;821,2,47.0"
1224,46.0,45,[35.0],"4388,1,21.0;4234,2,8.0;3995,3,16.0;5233,4,41.0;3520,5,49.0;4424,8,12.0;3621,9,33.0;4771,10,41.0;8756,45,8.0"
1225,17.0,17,[],"983,1,23.0;4154,8,20.0;38,11,52.0"
1226,10.0,10,[],"1293,1,22.0;3334,3,10.0;2785,4,19.0;2786,5,21.0;4260,6,20.0;2785,7,19.0"
1227,16.0,16,[],"4215,1,46.0"
1228,44.0,42,"[42.0, 47.0]","4076,1,24.0;4875,16,47.0;4613,18,11.0;4231,19,29.0;7938,40,15.0;7484,41,14.0"
1229,23.0,23,[],"3307,1,36.0"
1230,23.0,22,[42.0],"451,1,34.0;1412,6,40.0;451,8,34.0;1412,15,40.0"
1231,17.0,16,[36.0],"4240,1,22.0;2514,7,27.0;2985,8,20.0;5109,9,22.0;4240,10,22.0"
1232,15.0,15,[],"3570,1,25.0"
1233,17.0,17,[],"2372,1,39.0;1654,6,23.0;2918,7,36.0;2372,8,39.0;4839,9,33.0"
1234,36.0,36,[],"889,1,31.0;350,2,35.0;4354,13,24.0;5604,14,5.0;4958,15,13.0;4354,22,24.0;4531,29,32.0"
1235,21.0,21,[],"4168,1,19.0;992,6,25.0;4000,10,15.0;2788,19,40.0"
1236,9.0,9,[],"5031,1,7.0;4903,7,7.0"
1237,6.0,6,[],"4302,1,10.0"
1238,7.0,7,[],"2615,1,42.0;1967,2,20.0"
1239,4.0,4,[],"3245,1,11.0"
1240,10.0,10,[],"1460,1,26.0"
1241,7.0,7,[],"3833,1,16.0"
1242,9.0,9,[],"577,1,30.0"
1243,17.0,17,[],"4383,1,57.0"
1244,50.0,50,[],"4370,1,5.0;4468,4,5.0;4680,5,5.0;3185,6,74.0;6816,38,17.0"
1245,70.0,70,[],"178,1,71.0;9064,53,19.0"
1246,6.0,6,[],"4037,1,11.0"
1247,18.0,18,[],"2379,1,54.0"
1248,25.0,25,[],"3681,1,16.0;5413,12,5.0;4665,13,10.0;5554,14,11.0;5840,15,21.0"
1249,40.0,40,[],"3320,1,43.0;6503,29,14.0;3320,30,43.0;5419,31,12.0;3320,33,43.0"
1250,4.0,4,[],"4213,1,11.0;1463,2,19.0"
1251,48.0,48,[],"3953,1,50.0;7362,36,18.0;7889,37,21.0;4586,38,37.0;537,40,60.0;7890,41,7.0;7070,44,22.0"
1252,11.0,11,[],"4360,1,21.0;4069,2,46.0;351,10,21.0"
1253,5.0,5,[],"3503,1,32.0"
1254,11.0,11,[],"4354,1,24.0"
1255,11.0,11,[],"4332,1,26.0"
1256,7.0,7,[],"5972,1,23.0"
1257,4.0,4,[],"2351,1,16.0"
1258,18.0,18,[],"6117,1,9.0;4994,9,39.0"
1259,37.0,37,[],"1330,1,24.0;1398,13,46.0;3787,14,19.0;3503,17,32.0;3261,28,36.0;3503,31,32.0;5239,32,18.0;6273,33,12.0;5239,36,18.0;7163,37,8.0"
1260,23.0,23,[],"1014,1,50.0;3192,2,21.0;1014,5,50.0;66,8,32.0;1014,11,50.0"
1261,16.0,16,[],"1141,1,32.0;4292,2,25.0"
1262,8.0,8,[],"278,1,55.0"
1263,5.0,5,[],"424,1,47.0"
1264,7.0,7,[],"3781,1,9.0;4390,2,33.0"
1265,9.0,9,[],"3591,1,26.0;3016,9,36.0"
1266,30.0,30,[],"404,1,73.0;3194,2,31.0;4961,15,8.0;5952,17,8.0;6167,18,9.0;1470,25,32.0;5797,26,28.0"
1267,42.0,41,[53.0],"1250,1,55.0;4089,5,31.0;1735,8,37.0;5309,9,9.0;4089,10,31.0;3166,16,14.0;696,17,34.0;6145,24,8.0;6741,25,39.0"
1268,22.0,22,[],"5591,1,17.0;3349,2,45.0;5819,3,17.0;6717,13,11.0;6905,20,17.0;6039,21,12.0;6905,22,17.0"
1269,8.0,7,[30.0],"4398,1,9.0"
1270,9.0,9,[],"3491,1,27.0;6341,7,8.0"
1271,30.0,29,[43.0],"1339,1,13.0;3543,2,11.0;4190,3,10.0;4741,11,14.0;3815,12,13.0;5431,13,5.0;4242,14,66.0;5319,15,10.0;4242,22,66.0;5428,24,13.0;6532,25,6.0;6841,26,15.0"
1272,6.0,6,[],"3648,1,12.0;757,2,42.0;4566,3,20.0;2254,5,10.0"
1273,7.0,7,[],"4406,1,23.0"
1274,43.0,43,[],"3784,1,22.0;404,2,73.0;5890,31,34.0"
1275,52.0,50,"[33.0, 34.0]","2686,1,10.0;4430,2,14.0;4688,3,28.0;4332,4,26.0;2790,5,37.0;4430,8,14.0;3149,17,16.0;5340,18,15.0;6274,19,11.0;5067,30,36.0"
1276,33.0,33,[],"2305,1,26.0;1743,11,75.0;4876,12,29.0;6131,21,15.0;6554,22,12.0;6131,24,15.0;2790,25,37.0;4876,26,29.0;5298,27,18.0;6646,30,11.0;4139,31,36.0"
1277,5.0,5,[],"4440,1,5.0;2715,2,17.0"
1278,22.0,22,[],"3611,1,11.0;339,2,30.0;1831,3,35.0"
1279,9.0,9,[],"4142,1,21.0"
1280,15.0,15,[],"1077,1,63.0"
1281,11.0,10,[58.0],"6712,1,5.0;6691,2,16.0;6145,3,8.0;6869,4,10.0;6976,8,9.0"
1282,17.0,17,[],"2953,1,33.0;104,10,29.0;1324,11,35.0;3567,13,74.0"
1283,25.0,25,[],"1696,1,23.0;4694,7,27.0;757,11,42.0;4694,12,27.0"
1284,50.0,50,[],"2972,1,19.0;4480,4,12.0;2605,12,25.0;3576,25,17.0;5655,27,8.0;3576,31,17.0;1121,32,62.0;6814,41,18.0;6312,47,23.0;8852,48,12.0"
1285,25.0,25,[],"4301,1,27.0;3036,2,9.0;4627,3,12.0;4301,6,27.0;2822,10,20.0;4301,11,27.0;5089,25,24.0"
1286,7.0,7,[],"3125,1,12.0"
1287,11.0,11,[],"4007,1,15.0"
1288,54.0,54,[],"2318,1,23.0;3021,3,16.0;4761,5,40.0;2271,33,70.0;5282,34,33.0;3309,45,51.0;8219,46,15.0;6454,47,20.0"
1289,13.0,13,[],"4293,1,30.0;3908,7,30.0;2691,10,31.0"
1290,40.0,40,[],"2996,1,28.0;4963,9,7.0;5379,10,12.0;5545,11,41.0;5683,36,33.0"
1291,5.0,5,[],"2673,1,20.0"
1292,7.0,7,[],"3942,1,14.0;4032,6,33.0"
1293,21.0,20,[47.0],"782,1,44.0;3689,18,14.0"
1294,30.0,30,[],"3616,1,32.0;4727,18,24.0;3616,26,32.0;5116,27,22.0"
1295,27.0,27,[],"2854,1,25.0;3028,17,33.0;4383,26,57.0;5740,27,29.0"
1296,7.0,7,[],"4258,1,10.0"
1297,48.0,48,[],"4264,1,15.0;4327,15,14.0;6009,16,37.0"
1298,25.0,25,[],"3086,1,10.0;4035,2,13.0;2320,3,30.0;576,13,54.0;2552,21,45.0"
1299,24.0,24,[],"215,1,21.0;4441,5,38.0;4640,6,4.0;4809,7,6.0;4939,9,16.0;5498,10,24.0;4939,13,16.0;5498,18,24.0;4939,20,16.0;5498,21,24.0;4939,23,16.0"
1300,15.0,15,[],"3358,1,14.0;4466,8,8.0;4517,9,7.0;2164,10,21.0;5622,11,13.0;3724,12,17.0;4517,13,7.0"
1301,7.0,7,[],"4268,1,8.0"
1302,4.0,4,[],"4276,1,11.0"
1303,7.0,7,[],"2361,1,16.0"
1304,59.0,58,[71.0],"4232,1,21.0;5450,19,22.0;3574,20,23.0;4421,21,32.0;5659,22,7.0;6100,23,12.0;6831,25,34.0;4503,37,15.0;5403,38,11.0;6831,40,34.0;7260,41,5.0;8687,43,15.0;7261,44,15.0;8687,47,15.0"
1305,17.0,17,[],"4490,1,13.0;3860,10,5.0;4222,11,16.0;4981,12,6.0;4594,16,18.0;4222,17,16.0"
1306,5.0,5,[],"3025,1,17.0;1684,4,40.0;4690,5,10.0"
1307,5.0,2,"[32.0, 34.0, 35.0]","4178,1,14.0;2146,2,22.0;4178,3,14.0;2146,5,22.0"
1308,18.0,18,[],"4270,1,29.0"
1309,17.0,15,"[56.0, 61.0]","6748,1,40.0;5833,2,12.0;3323,3,42.0;6092,12,25.0"
1310,16.0,16,[],"4565,1,25.0;4128,3,32.0"
1311,6.0,5,[37.0],"3546,1,19.0;4270,6,29.0"
1312,10.0,10,[],"3346,1,25.0;2410,2,17.0"
1313,13.0,13,[],"3499,1,21.0;727,7,54.0;3499,9,21.0"
1314,26.0,26,[],"4417,1,11.0;3559,2,11.0;1568,3,20.0;1206,4,81.0;4365,13,31.0;1268,14,26.0;6050,15,8.0;5612,23,10.0"
1315,15.0,15,[],"37,1,73.0;431,5,35.0"
1316,17.0,17,[],"4335,1,15.0;6318,2,22.0;7609,16,18.0;8397,17,5.0"
1317,7.0,7,[],"3748,1,15.0"
1318,12.0,12,[],"2310,1,26.0"
1319,5.0,5,[],"3056,1,15.0;4672,2,9.0;4846,3,5.0;3840,4,12.0"
1320,25.0,25,[],"1615,1,59.0;3192,19,21.0;1615,20,59.0;6395,21,7.0"
1321,8.0,8,[],"3361,1,46.0"
1322,22.0,21,[32.0],"1161,1,12.0;798,2,53.0;4810,16,16.0"
1323,8.0,8,[],"3168,1,18.0"
1324,4.0,4,[],"1830,1,22.0;569,2,38.0;3613,3,21.0"
1325,12.0,12,[],"4355,1,10.0;2809,2,24.0;5379,12,12.0"
1326,10.0,10,[],"4124,1,13.0"
1327,14.0,14,[],"2704,1,29.0;3054,2,15.0;3057,4,10.0;4020,5,28.0;4647,6,4.0;4964,7,4.0;4577,8,15.0"
1328,36.0,34,"[43.0, 45.0]","1206,1,81.0;1568,2,20.0;4848,3,8.0;4974,10,8.0;2770,12,19.0;5199,13,13.0;5616,14,5.0;5999,15,41.0"
1329,19.0,17,"[43.0, 49.0]","4476,1,8.0;4082,2,9.0;4476,5,8.0;4096,9,35.0;4475,10,11.0;4655,12,7.0;5105,13,4.0;1038,14,26.0;5956,15,22.0;1525,16,27.0;4225,17,8.0;1029,18,31.0;6268,19,11.0"
1330,15.0,15,[],"3807,1,26.0;4139,7,36.0;5361,8,10.0"
1331,5.0,5,[],"4144,1,14.0;4323,2,9.0;4143,3,9.0"
1332,15.0,15,[],"2920,1,42.0"
1333,16.0,16,[],"5737,1,10.0;6454,10,20.0;6453,16,29.0"
1334,16.0,16,[],"2466,1,23.0;3711,8,11.0;3473,9,63.0;4871,11,8.0"
1335,22.0,22,[],"548,1,33.0;4773,2,7.0;548,8,33.0;1975,10,37.0;5568,15,9.0;6011,16,4.0;6010,17,4.0;6374,18,14.0;6317,19,11.0;6595,20,18.0;6663,21,28.0;6775,22,5.0"
1336,19.0,19,[],"4600,1,8.0;5212,9,7.0;5597,10,7.0;5763,11,15.0"
1337,16.0,16,[],"2344,1,49.0"
1338,7.0,7,[],"4611,1,8.0"
1339,19.0,19,[],"276,1,70.0;5048,11,15.0;5603,19,7.0"
1340,22.0,22,[],"4140,1,34.0;3689,21,14.0;782,22,44.0"
1341,38.0,38,[],"3710,1,12.0;4118,2,8.0;1182,7,78.0;3077,8,16.0;3653,9,46.0;5185,10,12.0;3727,11,10.0;3492,12,32.0;5721,23,15.0;3492,26,32.0;7313,28,4.0;7080,31,29.0;7744,32,24.0;7845,33,10.0"
1342,9.0,9,[],"2051,1,27.0;5195,5,5.0"
1343,7.0,7,[],"2823,1,20.0"
1344,6.0,6,[],"1683,1,22.0"
1345,12.0,12,[],"3220,1,24.0;3839,2,41.0;3220,3,24.0;5237,12,4.0"
1346,50.0,50,[],"4599,1,9.0;3630,2,17.0;4599,3,9.0;4597,4,21.0;5106,18,45.0;27,38,59.0;8450,42,21.0;27,48,59.0"
1347,40.0,30,"[63.0, 64.0, 65.0, 67.0, 70.0, 72.0, 75.0, 80.0, 82.0, 86.0]","7107,1,4.0;3616,2,32.0;7277,3,5.0;7644,4,15.0;7856,6,5.0;8061,8,30.0;8103,10,10.0;7293,11,7.0;7869,13,10.0;8503,14,9.0;8432,15,4.0;4727,16,24.0;4797,17,35.0;9069,18,16.0;7945,19,16.0;8104,20,12.0;9175,21,5.0;7469,22,16.0;8658,23,10.0;8104,24,12.0;4797,25,35.0;9547,26,4.0;7757,27,13.0;9463,28,4.0;8106,29,17.0;8425,30,21.0;10308,31,10.0"
1348,33.0,32,[49.0],"2956,1,23.0;1301,16,51.0;4280,17,14.0;3921,18,44.0"
1349,9.0,9,[],"4342,1,17.0;5534,9,26.0"
1350,24.0,24,[],"4635,1,52.0;5036,23,13.0"
1351,10.0,10,[],"3669,1,19.0;4358,2,12.0"
1352,8.0,7,[50.0],"6156,1,14.0;6401,2,12.0;4700,3,31.0"
1353,17.0,17,[],"3889,1,31.0"
1354,32.0,31,[64.0],"4103,1,6.0;3347,2,21.0;204,6,59.0;5454,10,18.0;204,19,59.0;4810,26,16.0;6335,27,5.0;5472,28,15.0;6485,32,39.0"
1355,14.0,14,[],"2858,1,39.0;5279,9,7.0;5699,13,43.0"
1356,5.0,5,[],"74,1,33.0"
1357,38.0,38,[],"4649,1,14.0;275,11,62.0"
1358,10.0,10,[],"1767,1,22.0;152,6,81.0;4782,8,7.0"
1359,15.0,15,[],"3309,1,51.0"
1360,18.0,18,[],"3917,1,39.0;5066,14,9.0;4004,15,22.0"
1361,24.0,22,"[34.0, 42.0]","1568,1,20.0;4974,2,8.0;2770,10,19.0;5616,11,5.0;5872,12,8.0;2278,13,50.0"
1362,23.0,23,[],"4806,1,4.0;4104,2,13.0;1600,3,46.0;3492,14,32.0;2920,15,42.0"
1363,7.0,7,[],"1525,1,27.0;3680,4,16.0;940,5,27.0"
1364,7.0,7,[],"4252,1,10.0;322,2,20.0"
1365,35.0,35,[],"3489,1,16.0;4166,2,7.0;37,3,73.0"
1366,12.0,12,[],"4765,1,48.0;4568,2,24.0;1773,7,27.0;4765,9,48.0;1773,10,27.0"
1367,19.0,19,[],"5180,1,31.0;4136,11,37.0;9134,14,14.0;6252,15,33.0"
1368,23.0,23,[],"4838,1,11.0;4132,3,4.0;4838,4,11.0;5682,13,9.0;2162,20,39.0"
1369,26.0,24,"[34.0, 37.0]","3823,1,48.0;2716,3,21.0;4926,4,5.0;5304,5,6.0;2942,6,58.0"
1370,26.0,26,[],"4715,1,5.0;2321,2,45.0"
1371,33.0,33,[],"4796,1,7.0;5359,7,5.0;5358,8,19.0;3032,14,52.0;7299,31,4.0;5753,32,31.0;7565,33,29.0"
1372,15.0,15,[],"4710,1,33.0"
1373,7.0,7,[],"4825,1,45.0;2051,6,27.0;5194,7,14.0"
1374,30.0,29,[62.0],"6540,1,5.0;4075,4,23.0;7265,6,9.0;7500,7,11.0;6927,14,9.0;8085,18,12.0;8752,19,15.0"
1375,15.0,15,[],"2940,1,48.0"
1376,48.0,48,[],"3925,1,13.0;3926,2,15.0;59,3,73.0"
1377,10.0,10,[],"3788,1,27.0"
1378,8.0,8,[],"36,1,35.0;1979,2,44.0;36,7,35.0;6028,8,5.0"
1379,6.0,5,[50.0],"0,1,65.0;4929,2,41.0;0,3,65.0"
1380,20.0,20,[],"3103,1,34.0"
1381,24.0,23,[35.0],"4257,1,6.0;4786,2,6.0;5021,3,13.0;5200,4,4.0;5021,7,13.0;4899,8,20.0;6090,22,11.0;6285,23,7.0"
1382,22.0,22,[],"2014,1,46.0;5294,6,12.0;4636,16,16.0"
1383,38.0,37,[35.0],"4496,1,4.0;3727,2,10.0;4105,3,48.0;6960,28,22.0;7217,31,11.0"
1384,7.0,7,[],"3015,1,8.0;550,2,41.0;3489,6,16.0;4867,7,5.0"
1385,4.0,4,[],"4865,1,9.0"
1386,40.0,40,[],"3204,1,23.0;4390,12,33.0;4150,13,44.0"
1387,8.0,8,[],"4945,1,14.0;4944,2,19.0"
1388,32.0,32,[],"3847,1,7.0;575,2,54.0;3621,24,33.0;3301,26,36.0;6702,32,10.0"
1389,7.0,7,[],"1885,1,45.0"
1390,4.0,4,[],"4959,1,5.0"
1391,12.0,12,[],"409,1,22.0;2099,2,25.0"
