ID (GT),Track Length (GT),Track Coverage,Missing Time Points,Dino Data
836,86.0,86,[],"1617,1,12.0;2141,2,34.0;1617,3,12.0;2141,4,34.0;5695,35,5.0;4550,37,22.0;5278,38,7.0;4784,39,19.0;7344,49,22.0;4550,50,22.0;1766,54,41.0;6392,55,37.0;5699,78,43.0;10384,79,9.0;6392,86,37.0"
837,14.0,14,[],"2319,1,6.0;1297,5,29.0"
838,6.0,6,[],"1300,1,17.0;2697,2,6.0"
839,22.0,21,[35.0],"656,1,27.0;3680,13,16.0;4473,18,4.0;1980,19,27.0;4666,20,8.0;3550,21,6.0;4751,22,4.0"
840,8.0,8,[],"2781,1,8.0"
841,10.0,10,[],"2826,1,13.0"
842,22.0,22,[],"3451,1,4.0;3311,2,44.0"
843,17.0,17,[],"1086,1,28.0"
844,5.0,5,[],"652,1,18.0"
845,21.0,21,[],"1625,1,15.0;2512,2,41.0;1625,4,15.0;4003,5,12.0;2512,12,41.0"
846,12.0,11,[16.0],"2885,1,12.0;2639,2,7.0;3176,3,12.0"
847,16.0,16,[],"1781,1,12.0;3175,7,7.0;1322,11,31.0"
848,17.0,17,[],"1968,1,9.0;17,2,26.0;2613,4,6.0;2615,5,42.0;3473,6,63.0"
849,4.0,4,[],"1183,1,15.0;1383,2,15.0"
850,26.0,26,[],"1282,1,18.0;2511,5,23.0;1504,8,44.0;3736,9,20.0"
851,14.0,14,[],"2129,1,18.0"
852,14.0,14,[],"2389,1,18.0"
853,19.0,19,[],"326,1,16.0;336,5,29.0;888,7,17.0;1632,8,28.0;3459,9,37.0;888,10,17.0;1632,11,28.0"
854,12.0,12,[],"4437,1,27.0;2570,2,19.0;5360,3,19.0"
855,6.0,6,[],"961,1,13.0;980,2,23.0;961,3,13.0;891,6,13.0"
856,14.0,14,[],"2820,1,19.0"
857,30.0,29,[36.0],"1559,1,26.0;2230,21,23.0;910,22,45.0;858,23,26.0;910,24,45.0;858,25,26.0;1140,30,22.0"
858,15.0,15,[],"1586,1,42.0"
859,7.0,7,[],"2892,1,9.0;2970,6,9.0"
860,8.0,8,[],"1816,1,33.0"
861,7.0,6,[23.0],"1647,1,20.0;3318,2,10.0;3286,3,4.0;3522,4,4.0;3789,6,18.0;3390,7,11.0"
862,7.0,7,[],"3606,1,30.0"
863,37.0,37,[],"1435,1,45.0;669,24,54.0;1435,26,45.0;5642,35,4.0;5176,36,9.0;4320,37,14.0"
864,6.0,6,[],"2934,1,6.0"
865,5.0,5,[],"1787,1,21.0;179,3,48.0"
866,4.0,4,[],"1552,1,21.0"
867,7.0,7,[],"1710,1,11.0;2633,3,5.0;3237,4,5.0;2693,5,10.0;1712,6,14.0"
