ID (GT),ID (Dino),Track Length (GT),Track Length (Dino),Match,Identical Match
[98],[97 435 654 1032 2264],[18.0],[7.0 9.0 11.0 27.0 56.0],True,False
[99],[662 669 1779 2142],[18.0],[10.0 12.0 16.0 54.0],True,False
[100],[687],[33.0],[34.0],True,False
[101],[291 308 332 1599],[6.0],[5.0 16.0 19.0 75.0],False,False
[102],[422 878 882],[9.0],[7.0 17.0 19.0],True,False
[103],[899 1566 1810],[5.0],[8.0 12.0 16.0],True,False
[104],[458 1200],[10.0],[6.0 22.0],True,False
[105],[1250 1338 1494 2285 2741 4197 4635 4637 5036 5223 5588],[61.0],[5.0 9.0 10.0 13.0 19.0 23.0 32.0 37.0 47.0 52.0 55.0],True,False
[106],[448 4894],[60.0],[34.0 61.0],False,False
[107],[569 958 1205 1830 1924],[28.0],[5.0 9.0 16.0 22.0 38.0],True,False
[108],[1506 1970],[22.0],[4.0 29.0],False,False
[109],[254],[27.0],[37.0],True,False
[110],[347 423],[18.0],[17.0 24.0],True,False
[111],[488 783 2031],[42.0],[22.0 35.0],False,False
[112],[416 487 773 2365 2506],[54.0],[5.0 8.0 15.0 32.0 59.0],True,False
[113],[1344],[8.0],[23.0],True,False
[114],[1580 1595],[13.0],[16.0 17.0],True,False
[115],[389 423 896 964 1209 1941 2384],[17.0],[5.0 6.0 9.0 10.0 11.0 17.0],True,False
[116],[356],[4.0],[8.0],True,False
[117],[22 408 3996 4539],[37.0],[13.0 14.0 24.0 37.0],True,False
[118],[2573 5854 6152 6422],[8.0],[6.0 12.0 18.0 26.0],True,False
[119],[196 2342 2517 2825 3029 3031 4226],[44.0],[5.0 6.0 7.0 13.0 25.0 33.0],False,False
[120],[440],[11.0],[31.0],True,False
[121],[538],[9.0],[11.0],True,False
[122],[427],[11.0],[14.0],True,False
[123],[17 1282 2196 2613 2615 3473],[26.0],[6.0 17.0 18.0 26.0 42.0 63.0],True,False
[124],[459 1591 2060 2185 2288],[19.0],[6.0 10.0 15.0 29.0 50.0],False,False
[125],[610 1287],[22.0],[11.0 19.0],True,False
[126],[24 574 999],[12.0],[5.0 10.0 21.0],True,False
[127],[376 544 902 1224],[19.0],[10.0 12.0 13.0 17.0],True,False
[128],[554],[31.0],[32.0],True,False
[129],[490 813 1446 1550 2995 4159],[40.0],[12.0 15.0 17.0 18.0 36.0],True,False
[130],[428 1291 1519 1529 2203],[20.0],[4.0 5.0 13.0 15.0 19.0],True,False
[131],[839],[24.0],[25.0],True,False
[132],[706],[4.0],[8.0],True,False
[133],[476 718 1097 2151],[17.0],[11.0 13.0 15.0 26.0],False,False
[134],[339 1206 1831 2673 4459],[35.0],[7.0 20.0 30.0 35.0 81.0],True,False
[135],[742 746 1745],[5.0],[4.0 9.0 51.0],False,False
[136],[468],[7.0],[38.0],True,False
[137],[460 891 894],[17.0],[11.0 13.0 16.0],True,False
[138],[57 69 463],[14.0],[10.0 17.0 26.0],False,False
[139],[478 556 1784],[14.0],[4.0 5.0 24.0],True,False
[140],[2778],[5.0],[5.0],True,True
[141],[135],[6.0],[21.0],True,False
[142],[7104 7148 7487 7591],[11.0],[4.0 6.0 26.0],True,False
[143],[342 910 3366],[23.0],[6.0 20.0 45.0],True,False
[144],[421 2384 2843],[17.0],[6.0 10.0 19.0],True,False
[145],[276],[11.0],[70.0],True,False
[146],[486 1258 2494],[22.0],[17.0 23.0 26.0],True,False
