ID (GT),ID (Dino),x (GT),y (GT),z (GT),x (Dino),y (Dino),z (Dino),t,t_start (GT),t_start (Dino),FI (GT),FI (Dino),Track Length (GT),Track Length (Dino),Feature 0,Feature 1,Feature 2,Distance,Multi ID (Dino),Multi Distance (Dino)
1,173,305.364,231.0,0.818,305.09668,230.94318,1.0343004,2.0,0.0,0.0,1.0,3.107,17.0,25.0,4.586,1.033,-1.271,0.34853171712220105,173,0.35
1,173,305.455,230.182,0.727,304.93475,230.504,0.8908787,3.0,0.0,0.0,1.0,3.268,17.0,25.0,2.35,2.277,-0.3188,0.6334037344487848,173,0.63
1,173,305.909,230.636,0.818,306.07812,230.81612,1.1738242,4.0,0.0,0.0,1.0,2.77,17.0,25.0,4.92,2.797,-0.3965,0.43319239386865177,173,0.43
1,173,307.273,231.091,0.636,307.4431,230.94664,0.9327,5.0,0.0,0.0,1.0,2.354,17.0,25.0,4.742,1.118,-0.4014,0.3712205673181358,173,0.37
1,173,307.727,231.727,0.727,307.7073,231.49767,0.98160696,6.0,0.0,0.0,1.0,2.715,17.0,25.0,5.016,1.448,-0.3474,0.34322739252635953,173,0.34
1,173,303.909,235.0,1.182,303.96683,234.67334,0.9959904,7.0,0.0,0.0,1.0,4.11,17.0,25.0,8.055,3.264,-1.149,0.3803296409592149,173,0.38
1,173,301.727,238.545,1.909,301.57187,238.66618,1.3552122,8.0,0.0,0.0,1.0,3.975,17.0,25.0,1.357,2.066,0.3005,0.58773364437374,173,0.59
1,173,301.818,238.455,2.091,301.52408,238.28954,1.6835744,9.0,0.0,0.0,1.0,4.836,17.0,25.0,2.969,1.049,-0.11536,0.5289249450870541,173,0.53
1,173,302.091,238.0,2.0,301.97778,238.17197,1.6938505,10.0,0.0,0.0,1.0,3.791,17.0,25.0,4.63,1.732,-0.2,0.36894439371028337,173,0.37
1,173,301.182,238.455,2.0,301.28787,238.34358,1.357162,11.0,0.0,0.0,1.0,4.402,17.0,25.0,3.395,2.36,-0.6875,0.6609565549595513,173,0.66
1,173,302.818,238.182,2.0,302.70932,238.43498,1.3980454,12.0,0.0,0.0,1.0,4.27,17.0,25.0,5.46,1.628,-0.06714,0.6619362229559298,173,0.66
1,173,302.636,238.545,1.909,302.47748,238.3482,1.5158637,13.0,0.0,0.0,1.0,4.18,17.0,25.0,2.658,1.876,0.08514,0.4673488854995716,173,0.47
1,173,302.364,239.182,1.727,301.7477,239.35925,1.0886993,14.0,0.0,0.0,1.0,4.355,17.0,25.0,8.77,0.3953,-0.1492,0.9048044187118313,173,0.90
1,173,298.364,243.182,1.636,298.70038,241.88118,1.197732,15.0,0.0,0.0,1.0,3.488,17.0,25.0,9.8,1.573,-0.1311,1.4132809404446027,173,1.41
1,173,294.636,247.727,1.273,294.72675,247.63535,1.2339679,16.0,0.0,0.0,1.0,4.15,17.0,25.0,4.99,1.404,0.05438,0.13475455402473452,173,0.13
2,136,293.091,181.091,-0.091,293.25156,181.0732,0.4182768,0.0,0.0,0.0,1.0,2.812,12.0,7.0,5.59,3.531,0.1956,0.5342838315148905,136,0.53
2,136,293.636,182.455,-0.091,294.1542,182.48027,1.0972193,1.0,0.0,0.0,1.0,2.232,12.0,7.0,1.847,1.557,-0.2115,1.2965473064228958,136,1.30
2,136,293.727,182.0,0.0,293.81168,181.76498,1.1307279,2.0,0.0,0.0,1.0,1.954,12.0,7.0,4.76,2.223,0.4749,1.1579942515567225,136,1.16
2,136,293.182,181.818,0.0,293.48868,181.8739,0.92064536,3.0,0.0,0.0,1.0,2.545,12.0,7.0,4.23,2.21,-0.4797,0.9719903864182556,136,0.97
2,136,291.182,181.0,0.182,293.0387,179.38185,0.9807198,4.0,0.0,0.0,1.0,2.637,12.0,7.0,7.082,3.035,-0.5703,2.58914998240968,136,2.59
2,136,290.909,180.818,0.182,290.57825,180.79129,1.0685335,5.0,0.0,0.0,1.0,2.662,12.0,7.0,9.125,4.348,-0.7944,0.9465995104700976,136,0.95
2,132,291.545,180.455,0.364,290.86404,180.31139,1.1302966,6.0,0.0,0.0,1.0,1.976,12.0,33.0,5.996,2.242,0.3745,1.0351525650219895,132,1.04
2,132,291.818,180.273,0.636,292.05588,180.17506,1.0579282,7.0,0.0,0.0,1.0,3.148,12.0,33.0,5.133,4.008,-0.1378,0.49416853800626326,132,0.49
2,132,290.636,179.727,0.818,290.72443,180.21944,1.2232124,8.0,0.0,0.0,1.0,2.826,12.0,33.0,5.64,3.088,-0.5664,0.6438277002535234,132,0.64
2,132,290.182,178.455,0.818,289.8324,178.05336,1.2871944,9.0,0.0,0.0,1.0,2.684,12.0,33.0,7.11,1.858,-0.543,0.709702919954102,132,0.71
2,132,290.091,178.0,0.909,287.7568,176.9446,1.1361659,10.0,0.0,0.0,1.0,2.527,12.0,33.0,8.44,2.992,-0.5444,2.5717626535360605,132,2.57
2,132,289.636,178.909,1.0,288.54968,178.49025,1.4525199,11.0,0.0,0.0,1.0,3.387,12.0,33.0,8.53,1.325,-0.4607,1.2490864520904876,132,1.25
3,943,507.455,162.545,0.364,498.80304,161.91798,0.0,1.0,1.0,1.0,1.0,2.725,9.0,14.0,-6.12,0.5405,0.000702,8.682284372329642,,
3,943,501.909,162.909,0.909,501.79776,163.11166,1.2873846,2.0,1.0,1.0,1.0,3.58,9.0,14.0,4.84,2.74,-0.613,0.4434188975643298,943,0.44
3,943,497.091,161.182,1.091,496.83743,161.0159,1.1331686,3.0,1.0,1.0,1.0,3.172,9.0,14.0,7.32,3.424,0.3926,0.3060476200299107,943,0.31
3,943,490.818,160.727,1.364,490.79758,160.50201,1.1678234,4.0,1.0,1.0,1.0,4.715,9.0,14.0,7.77,2.648,-1.3545,0.29920350079428565,943,0.30
3,943,486.364,157.818,1.273,486.5167,157.60294,1.1298536,5.0,1.0,1.0,1.0,4.56,9.0,14.0,3.305,2.244,0.1549,0.3000982929524615,943,0.30
3,943,482.364,156.364,0.636,482.0482,156.58896,0.7028709,6.0,1.0,1.0,1.0,3.305,9.0,14.0,4.918,5.2,-1.072,0.3934569339416719,943,0.39
