z,y,x,t,intensity_raw,total_intensity,feature_0,feature_1,feature_2,norm,particle,t_starting,track_length,t_end,ID
2.4490848,339.69962,265.63358,0,132.0,41694.273,6.793,-8.375,-4.76,11.78,17,0,99,98,17
4.6040635,339.34854,265.99432,1,78.3,15354.969,8.16,-9.84,-1.24,12.84,17,0,99,98,17
4.7724886,338.95377,265.54688,2,79.2,15040.111,8.86,-10.73,-1.892,14.04,17,0,99,98,17
4.8029428,338.62817,266.4686,3,59.6,7569.9395,10.89,-13.21,-2.467,17.3,17,0,99,98,17
4.490376,339.00153,266.76517,4,74.3,14188.1875,11.0,-13.61,-2.447,17.67,17,0,99,98,17
4.959583,338.9175,266.5436,5,68.9,12264.507,9.53,-12.234,-2.29,15.68,17,0,99,98,17
4.5692916,339.19366,266.03662,6,78.6,18473.064,9.03,-11.48,-1.947,14.734,17,0,99,98,17
4.514756,339.4022,266.32477,7,77.2,17214.453,8.12,-11.29,-3.002,14.22,17,0,99,98,17
4.874457,339.75433,266.95004,8,81.1,15982.726,9.91,-14.09,-2.184,17.36,17,0,99,98,17
5.0959926,339.15085,266.78836,9,82.7,14887.408,8.61,-11.914,-2.973,15.0,17,0,99,98,17
4.7306676,339.62515,266.97852,10,73.0,11602.287,8.63,-13.34,-2.346,16.06,17,0,99,98,17
4.9328985,339.69058,266.61334,11,70.75,12311.431,8.11,-13.89,-1.417,16.14,17,0,99,98,17
4.770622,340.7088,266.6714,12,65.75,9003.635,8.28,-13.56,-3.354,16.23,17,0,99,98,17
4.749291,340.5836,266.75262,13,74.6,14852.122,6.527,-12.85,-2.656,14.66,17,0,99,98,17
4.5826836,340.6722,267.08536,14,66.8,12155.659,7.16,-14.836,-3.105,16.77,17,0,99,98,17
4.4462123,339.24536,266.4947,15,53.25,4952.1724,9.14,-14.336,-1.771,17.1,17,0,99,98,17
4.4246025,339.5613,266.22437,16,63.44,8753.508,8.69,-17.7,-3.186,19.98,17,0,99,98,17
4.482371,339.28534,266.2915,17,64.94,11562.766,6.766,-13.46,-2.945,15.35,17,0,99,98,17
4.3507466,339.46512,266.02325,18,61.5,11317.368,5.918,-12.53,-3.281,14.24,17,0,99,98,17
4.4825773,339.68713,266.30466,19,65.4,13594.924,6.95,-15.03,-3.258,16.88,17,0,99,98,17
4.4551044,339.72025,266.16083,20,55.84,8208.272,8.164,-17.19,-2.988,19.27,17,0,99,98,17
4.678705,339.9888,265.68802,21,62.0,11905.836,6.62,-13.516,-3.418,15.43,17,0,99,98,17
4.5852003,340.48547,265.93475,22,57.78,10860.128,6.844,-13.72,-4.29,15.92,17,0,99,98,17
4.5428863,340.82852,266.01282,23,59.1,8863.735,8.14,-14.36,-3.902,16.97,17,0,99,98,17
4.6671453,341.60757,265.97784,24,59.56,7443.7837,9.67,-14.484,-3.664,17.8,17,0,99,98,17
4.5483074,341.0074,266.2614,25,65.3,11360.614,6.254,-12.48,-4.65,14.71,17,0,99,98,17
4.548349,341.0411,265.94522,26,66.9,9629.735,9.27,-13.49,-4.188,16.89,17,0,99,98,17
4.5336056,340.40326,266.10492,27,53.34,7200.805,8.7,-14.33,-4.46,17.34,17,0,99,98,17
4.292468,340.60553,266.10287,28,63.1,7507.5957,11.26,-15.03,-3.746,19.16,17,0,99,98,17
4.226271,339.4165,265.70358,29,57.28,9395.262,7.652,-15.836,-4.33,18.11,17,0,99,98,17
4.5787253,338.69608,266.19174,30,57.28,10311.839,7.355,-14.484,-3.72,16.66,17,0,99,98,17
4.986946,338.45364,266.09146,31,68.6,16407.865,8.02,-11.91,-3.477,14.77,17,0,99,98,17
4.6689773,337.54526,266.3659,32,64.75,14632.662,10.62,-13.41,-3.365,17.42,17,0,99,98,17
4.7739906,337.3652,266.23904,33,69.8,17655.748,7.438,-12.56,-3.838,15.1,17,0,99,98,17
4.4414196,336.83234,265.99573,34,64.6,17520.559,7.773,-15.7,-3.244,17.81,17,0,99,98,17
4.098444,337.2888,265.95267,35,65.2,15059.126,10.63,-17.25,-2.74,20.44,17,0,99,98,17
4.4645023,336.8844,265.6363,36,63.6,18250.1,6.58,-13.484,-3.78,15.47,17,0,99,98,17
4.399856,337.63254,266.03052,37,63.34,17546.686,9.25,-15.41,-4.043,18.42,17,0,99,98,17
4.60162,337.69348,265.9388,38,62.66,15354.016,11.39,-14.74,-3.344,18.92,17,0,99,98,17
