ID (Dino),Missing Time Points,ID (CME),x (Dino),y (Dino),z (Dino),x (CME),y (CME),z (CME),t,t_start (Dino),t_start (Dino).1,FI (Dino),FI (CME),Track Length (Dino),Track Length (CME),Distance,Multi ID (CME),Multi Distance (CME)
1.0,43,2270.0,280.355,61.923656,11.9300375,292.48,62.425,13.830000000000013,43.0,1.0,1.0,261.5,41.601,56.0,11.0,12.283192919910617,,
1.0,44,2270.0,280.3003,61.757523,12.10268,292.56,63.24,14.050000000000011,44.0,1.0,1.0,252.1,47.802,56.0,11.0,12.501601390539106,,
1.0,45,2270.0,280.1867,61.755657,11.77105,291.47,63.805,13.120000000000005,45.0,1.0,1.0,255.1,50.554,56.0,11.0,11.5469620127612,,
1.0,46,2270.0,280.60583,61.37206,11.687279,293.23,65.088,14.310000000000002,46.0,1.0,1.0,252.5,46.737,56.0,11.0,13.418514959426052,,
1.0,47,2270.0,278.81192,61.20063,11.14441,295.0,66.372,15.490000000000007,47.0,1.0,1.0,251.4,57.181,56.0,11.0,17.54084246013858,,
1.0,48,2270.0,279.30606,61.641487,11.242933,294.22,67.19,14.930000000000009,48.0,1.0,1.0,246.6,52.461,56.0,11.0,16.33419927321994,,
1.0,49,2270.0,279.52582,61.69656,11.02849,293.04,68.367,14.069999999999991,49.0,1.0,1.0,256.0,59.317,56.0,11.0,15.374609391659364,,
1.0,50,2270.0,279.9435,61.5755,11.220089,295.57,70.621,16.05000000000001,50.0,1.0,1.0,252.9,68.154,56.0,11.0,18.69054875513081,,
1.0,51,480.0,280.05725,61.872128,11.227649,297.25,77.696,20.319999999999993,51.0,1.0,1.0,265.5,109.06,56.0,36.0,25.073021843050444,,
1.0,52,480.0,280.24255,62.57017,11.636699,298.04,78.03,20.97,52.0,1.0,1.0,271.0,113.48,56.0,36.0,25.35480383848398,,
1.0,53,480.0,279.25235,62.263844,11.063947,297.79,78.124,21.159999999999997,53.0,1.0,1.0,265.5,117.8,56.0,36.0,26.40301691181609,,
1.0,54,2086.0,280.7825,62.47079,11.698011,302.89,58.722,21.210000000000008,54.0,1.0,1.0,255.0,31.107,56.0,12.0,24.35719436737777,,
1.0,55,480.0,280.97687,63.06387,12.044156,298.96,78.533,20.59999999999999,55.0,1.0,1.0,261.8,146.61,56.0,36.0,25.21684782255971,,
1.0,56,480.0,279.95523,62.67976,11.753106,299.09,79.479,20.669999999999987,56.0,1.0,1.0,262.2,148.06,56.0,36.0,26.97897118382641,,
1.0,57,480.0,281.09784,63.45069,12.170803,299.21,79.806,19.789999999999992,57.0,1.0,1.0,258.5,142.05,56.0,36.0,25.565575839133903,,
1.0,58,532.0,281.95312,64.43559,12.863902,301.12,52.065,20.00999999999999,58.0,1.0,1.0,251.9,45.643,56.0,34.0,23.905386474769735,,
1.0,59,532.0,283.51416,64.92356,12.869922,300.69,53.895,18.379999999999995,59.0,1.0,1.0,246.8,42.043,56.0,34.0,21.14236445966447,,
1.0,60,532.0,281.20532,63.46999,11.684408,300.61,55.508,19.090000000000003,60.0,1.0,1.0,263.5,37.602,56.0,34.0,22.243598709133504,,
1.0,67,532.0,284.45316,61.176044,8.055187,298.29,62.547,18.34999999999999,67.0,1.0,1.0,245.0,59.331,56.0,34.0,17.300891197984708,,
1.0,68,532.0,284.99142,62.10679,9.098371,299.83,63.437,19.74000000000001,68.0,1.0,1.0,227.0,58.633,56.0,34.0,18.308391049847625,,
1.0,69,532.0,285.53888,63.522602,9.00095,300.69,64.46,20.0,69.0,1.0,1.0,227.4,67.458,56.0,34.0,18.74604633428883,,
1.0,77,939.0,272.99786,74.013374,4.52664,289.63,66.133,14.870000000000005,77.0,1.0,1.0,217.9,102.24,56.0,24.0,21.11192723199557,,
1.0,78,939.0,270.6284,73.68147,4.999983,291.96,66.797,16.210000000000008,78.0,1.0,1.0,213.0,100.94,56.0,24.0,25.06187476788575,,
1.0,79,939.0,268.99747,73.999306,5.9999433,292.35,67.705,16.310000000000002,79.0,1.0,1.0,221.5,96.065,56.0,24.0,26.29175183550444,,
1.0,80,939.0,269.31332,73.0525,5.0970807,293.27,67.836,16.710000000000008,80.0,1.0,1.0,203.5,91.121,56.0,24.0,27.12921457655405,,
1.0,83,939.0,268.4621,75.9998,5.4886866,296.89,70.185,16.99000000000001,83.0,1.0,1.0,216.1,41.47,56.0,24.0,31.212779552212545,,
1.0,84,939.0,269.55432,75.59674,4.7498546,298.91,70.407,19.19,84.0,1.0,1.0,216.2,51.076,56.0,24.0,33.12411732715517,,
2.0,1,4280.0,255.29057,122.91476,2.2398355,293.64,131.9,14.25,1.0,1.0,1.0,298.0,193.92,37.0,4.0,41.178360463956786,,
2.0,36,131.0,265.99765,135.9988,4.999956,294.27,144.85,20.53,36.0,1.0,1.0,307.2,243.65,37.0,64.0,33.449241883851926,,
2.0,37,131.0,264.40594,136.32504,5.719264,293.4,144.93,20.49000000000001,37.0,1.0,1.0,245.1,221.38,37.0,64.0,33.65821584497455,,
2.0,38,131.0,265.02606,137.40962,5.1531687,293.93,145.07,20.69999999999999,38.0,1.0,1.0,260.0,208.84,37.0,64.0,33.70197520530008,,
2.0,44,131.0,271.21808,140.82521,8.159194,294.13,145.29,20.72999999999999,44.0,1.0,1.0,255.8,235.65,37.0,64.0,26.51255535251433,,
2.0,46,131.0,266.99667,138.99828,4.999938,295.11,144.96,21.539999999999992,46.0,1.0,1.0,215.8,218.84,37.0,64.0,33.15833349267036,,
2.0,50,131.0,273.73917,139.36801,8.605597,294.42,144.76,20.84999999999999,50.0,1.0,1.0,254.2,292.94,37.0,64.0,24.631193443993116,,
2.0,52,131.0,275.07306,139.71887,9.672763,294.38,145.03,21.05000000000001,52.0,1.0,1.0,236.0,296.01,37.0,64.0,23.030578711675247,,
2.0,53,131.0,275.47348,139.48206,9.727924,294.11,145.3,21.03,53.0,1.0,1.0,232.4,292.59,37.0,64.0,22.558927843844373,,
2.0,54,131.0,276.5726,139.05367,10.344447,294.6,145.92,21.09999999999999,54.0,1.0,1.0,230.5,292.6,37.0,64.0,22.08654700863647,,
2.0,55,131.0,276.72516,139.48383,10.381996,295.41,146.73,21.31,55.0,1.0,1.0,247.6,318.35,37.0,64.0,22.826552453634253,,
2.0,56,131.0,276.95016,139.86324,10.357656,295.41,147.87,21.94,56.0,1.0,1.0,237.6,279.16,37.0,64.0,23.216903132363232,,
2.0,57,131.0,274.5793,140.37968,9.058918,295.94,147.73,21.44999999999999,57.0,1.0,1.0,239.9,261.44,37.0,64.0,25.7652017597985,,
2.0,58,131.0,277.0927,139.96906,10.164028,296.48,148.31,21.680000000000007,58.0,1.0,1.0,238.5,188.32,37.0,64.0,24.04280126105079,,
2.0,59,131.0,276.9737,140.35739,9.527787,297.2,148.84,21.569999999999993,59.0,1.0,1.0,250.4,173.82,37.0,64.0,25.02144636186062,,
2.0,60,131.0,277.03723,140.35358,9.769704,295.81,147.9,20.860000000000017,60.0,1.0,1.0,245.6,151.35,37.0,64.0,23.072928155241065,,
2.0,61,131.0,275.70856,140.90958,9.03672,294.47,146.43,19.56,61.0,1.0,1.0,239.4,156.75,37.0,64.0,22.208243735343007,,
2.0,62,131.0,272.0898,141.78943,7.719371,294.43,145.76,18.919999999999987,62.0,1.0,1.0,244.9,154.0,37.0,64.0,25.30422992625027,,
2.0,63,131.0,273.03256,141.10135,7.8619246,294.67,145.61,18.44999999999999,63.0,1.0,1.0,230.9,160.59,37.0,64.0,24.50742898086591,,
2.0,64,131.0,274.4788,139.94283,9.221622,294.46,145.72,18.870000000000005,64.0,1.0,1.0,231.8,167.05,37.0,64.0,22.92848108095659,,
2.0,66,131.0,275.35953,140.24605,9.368854,296.8,148.43,20.180000000000007,66.0,1.0,1.0,233.9,135.68,37.0,64.0,25.36832018988874,,
2.0,67,3697.0,274.2419,140.82643,8.880489,297.59,137.49,14.710000000000008,67.0,1.0,1.0,232.1,113.9,37.0,6.0,24.295035238789435,,
2.0,68,3697.0,274.92172,140.87561,9.205122,296.62,139.91,13.97999999999999,68.0,1.0,1.0,230.2,124.85,37.0,6.0,22.23841760434821,,
2.0,69,3697.0,275.28537,141.13327,9.179215,297.15,140.56,14.849999999999994,69.0,1.0,1.0,232.4,120.25,37.0,6.0,22.595320003178177,,
2.0,70,3697.0,275.07327,141.21826,9.1830015,297.25,141.63,15.139999999999986,70.0,1.0,1.0,238.0,125.72,37.0,6.0,22.966556434291647,,
2.0,71,3697.0,274.7823,141.15034,8.9229555,296.79,143.09,15.300000000000011,71.0,1.0,1.0,236.0,133.88,37.0,6.0,22.99495241918496,,
2.0,72,3697.0,274.93802,141.6166,8.964543,295.95,145.77,16.78,72.0,1.0,1.0,245.0,125.85,37.0,6.0,22.799899192743126,,
2.0,73,131.0,275.44016,141.40483,9.590943,297.2,149.01,19.620000000000005,73.0,1.0,1.0,234.5,139.33,37.0,64.0,25.137844614519935,,
2.0,74,131.0,274.85965,142.16646,8.926137,297.74,149.74,19.59999999999999,74.0,1.0,1.0,236.2,134.48,37.0,64.0,26.359064391530858,,
2.0,75,131.0,273.78262,142.52522,8.259781,298.36,149.83,19.31,75.0,1.0,1.0,241.1,140.59,37.0,64.0,27.919791518934407,,
2.0,76,131.0,274.4873,143.01942,8.801791,297.84,150.1,19.00999999999999,76.0,1.0,1.0,239.9,148.21,37.0,64.0,26.4516680270655,,
2.0,77,131.0,276.578,143.13387,9.4754715,298.0,150.1,20.169999999999987,77.0,1.0,1.0,233.5,166.14,37.0,64.0,24.935957792196653,,
2.0,78,131.0,276.3939,143.40926,9.771971,298.03,150.83,20.24000000000001,78.0,1.0,1.0,233.0,152.43,37.0,64.0,25.154876992393373,,
2.0,79,131.0,276.2503,144.23875,9.394441,297.67,151.06,20.59999999999999,79.0,1.0,1.0,244.6,170.09,37.0,64.0,25.117674099227067,,
2.0,80,131.0,275.96503,144.6178,9.524963,297.98,150.74,20.860000000000017,80.0,1.0,1.0,242.6,167.97,37.0,64.0,25.50731857197596,,
2.0,81,131.0,277.02798,145.17374,9.231158,297.05,151.19,20.72999999999999,81.0,1.0,1.0,239.9,169.28,37.0,64.0,23.86000914938977,,
2.0,82,131.0,277.35837,145.2459,10.432847,297.28,151.65,21.629999999999995,82.0,1.0,1.0,241.8,171.26,37.0,64.0,23.733100808202636,,
3.0,1,152.0,257.73523,180.4094,2.1844792,284.54,176.69,16.53,1.0,1.0,1.0,436.8,479.27,75.0,61.0,30.628803406860897,,
3.0,2,152.0,258.79062,180.92326,4.683629,285.24,177.28,16.210000000000008,2.0,1.0,1.0,308.5,527.34,75.0,61.0,29.080926296141985,,
3.0,3,152.0,258.47,180.71834,4.852988,285.18,176.84,16.430000000000007,3.0,1.0,1.0,308.8,515.51,75.0,61.0,29.368228206749947,,
3.0,5,152.0,259.76062,181.26231,4.6946282,285.76,177.5,16.080000000000013,5.0,1.0,1.0,302.8,612.46,75.0,61.0,28.631266614397873,,
3.0,6,152.0,258.8315,180.62222,4.757993,285.23,177.43,15.830000000000013,6.0,1.0,1.0,307.2,537.12,75.0,61.0,28.803826304615328,,
3.0,7,152.0,258.68295,180.56956,4.5038605,284.75,177.58,15.689999999999998,7.0,1.0,1.0,321.8,428.84,75.0,61.0,28.522943074121223,,
3.0,8,152.0,258.65213,180.75261,4.3762226,284.52,178.38,15.72,8.0,1.0,1.0,308.8,441.05,75.0,61.0,28.3453216995283,,
3.0,9,152.0,258.85147,181.35973,4.4704223,284.27,178.27,15.879999999999995,9.0,1.0,1.0,309.0,432.53,75.0,61.0,28.032598205056484,,
3.0,10,152.0,258.7977,180.82619,4.2781796,284.36,178.07,15.740000000000007,10.0,1.0,1.0,323.0,440.85,75.0,61.0,28.14961973966889,,
3.0,11,152.0,259.03946,180.68217,4.2688217,284.47,178.19,15.569999999999991,11.0,1.0,1.0,309.8,465.62,75.0,61.0,27.93993391131932,,
3.0,12,152.0,258.5078,180.24,4.16328,285.13,178.01,15.650000000000006,12.0,1.0,1.0,327.2,465.64,75.0,61.0,29.08021955210107,,
3.0,13,152.0,258.19135,180.2859,4.3040953,284.56,178.57,15.75,13.0,1.0,1.0,302.8,453.52,75.0,61.0,28.796853127277338,,
3.0,14,152.0,258.74686,179.95755,4.2705336,284.84,178.39,16.039999999999992,14.0,1.0,1.0,299.0,549.2,75.0,61.0,28.66756891337014,,
3.0,15,152.0,258.70425,180.07935,4.218561,285.11,178.5,16.159999999999997,15.0,1.0,1.0,307.0,515.43,75.0,61.0,29.023368944278705,,
3.0,16,152.0,258.42764,179.32735,4.301161,284.96,178.24,16.25999999999999,16.0,1.0,1.0,308.0,545.27,75.0,61.0,29.123225910259663,,
3.0,17,152.0,258.45825,180.0218,4.2963343,285.21,178.43,16.28,17.0,1.0,1.0,311.5,551.08,75.0,61.0,29.356399624474633,,
3.0,18,152.0,258.46878,180.22325,4.1454964,285.45,178.95,16.25,18.0,1.0,1.0,297.2,529.12,75.0,61.0,29.599432522487884,,
3.0,19,152.0,258.02036,180.06065,4.179973,284.95,179.12,15.710000000000008,19.0,1.0,1.0,283.8,444.0,75.0,61.0,29.30924522352682,,
3.0,20,152.0,259.017,180.54532,4.2011294,283.95,179.66,15.550000000000011,20.0,1.0,1.0,298.5,382.52,75.0,61.0,27.40866914678537,,
3.0,21,152.0,258.91068,180.46028,4.2002206,284.5,179.25,15.159999999999997,21.0,1.0,1.0,310.0,265.1,75.0,61.0,27.863862622354848,,
3.0,22,152.0,258.53854,180.98837,4.17209,285.77,178.95,15.490000000000007,22.0,1.0,1.0,295.2,208.2,75.0,61.0,29.560149741782407,,
3.0,23,152.0,258.4237,181.4988,4.243687,286.02,179.36,16.289999999999992,23.0,1.0,1.0,275.8,209.49,75.0,61.0,30.186816593075328,,
3.0,24,152.0,260.2385,181.96986,4.1694627,285.36,179.38,15.72,24.0,1.0,1.0,294.0,212.91,75.0,61.0,27.77070487020977,,
3.0,25,152.0,258.93344,182.43344,4.067158,285.39,179.93,16.159999999999997,25.0,1.0,1.0,275.0,250.26,75.0,61.0,29.19680815610094,,
