ID (Dino),Track Length (Dino),Track Coverage,Missing Time Points,CME Data
3547.0,57.0,1,"[15.0, 19.0, 21.0, 22.0, 31.0, 38.0, 39.0, 40.0, 41.0, 42.0, 44.0, 72.0, 73.0, 74.0, 75.0, 76.0, 77.0, 78.0, 79.0, 81.0, 85.0, 86.0, 87.0, 88.0, 89.0]","272.0,1,72.23711687161664;1418.0,2,41.76362685199652;3178.0,4,23.16954631235581;9868.0,5,0.4604572988073607;1497.0,6,4.698786666449094;5535.0,7,4.064705395228557;3490.0,12,5.532136929803921;2825.0,13,12.354184701581865;3888.0,20,16.83894668159801;10590.0,22,4.122402671889318;5776.0,24,18.988297149162644;2474.0,26,15.713406674543874"
3548.0,11.0,16,"[15.0, 16.0, 18.0, 51.0, 52.0, 53.0, 54.0]","3734.0,1,3.910089589334865;3492.0,12,1.3811347687318385;4979.0,17,0.9784476260383184;3492.0,18,1.7507506051977388;2571.0,19,9.284500930507756;1511.0,23,1.3275731022433248"
3549.0,13.0,5,[57.0],"3155.0,1,2.282675867551052;3246.0,2,1.6679367625449686"
3550.0,2.0,4,"[66.0, 69.0, 73.0]","9671.0,1,3.153980564017456;7025.0,2,6.983307551071465;432.0,3,3.832000918006145;2821.0,7,3.034562572497034"
3551.0,10.0,5,"[15.0, 22.0, 23.0, 34.0, 35.0, 36.0, 37.0, 38.0, 39.0, 40.0, 41.0, 42.0, 76.0]","4056.0,1,3.546213961085815;9930.0,9,12.80510829826911;5537.0,11,13.36555693894568;1017.0,18,5.698790422265058"
3552.0,75.0,2,"[15.0, 31.0]","115.0,1,7.0709634167325;1114.0,2,2.9788831656343926;1431.0,4,2.65417512351184"
3553.0,4.0,0,"[15.0, 16.0, 17.0, 18.0, 19.0, 20.0, 21.0, 22.0, 23.0, 24.0, 25.0, 28.0, 31.0, 34.0]","7518.0,1,16.416247546988277;3733.0,5,22.20694038634823;4067.0,6,15.426384736292576;3475.0,12,11.849915633780036;665.0,13,16.987487833624048"
3554.0,7.0,5,"[16.0, 18.0, 59.0, 61.0, 63.0, 65.0, 66.0, 77.0, 91.0]","5411.0,1,3.2159123294175727;4030.0,2,10.6405890433237;9727.0,3,8.41681567026982;2402.0,4,1.258430150703635;9010.0,6,4.029322909733088;4205.0,9,7.043849064346843;2402.0,10,9.44931397300354;4587.0,11,9.980345515161275;58.0,12,2.130592440003491"
3555.0,15.0,3,"[15.0, 16.0, 20.0, 25.0, 58.0, 61.0, 68.0, 77.0]","2672.0,1,17.665936247866966;6701.0,2,5.9866205612265135;2745.0,7,18.31151563772101;279.0,8,13.57909401098616;249.0,10,16.32922671125"
3556.0,11.0,1,"[15.0, 20.0, 21.0, 38.0, 54.0]","3716.0,1,7.900543263630627;1240.0,2,10.02424161115443;2977.0,4,2.097051453255261;385.0,6,25.83658800329361"
3557.0,11.0,19,"[15.0, 17.0, 23.0, 25.0, 34.0, 35.0, 48.0, 56.0]","3716.0,1,4.425551483118926;778.0,2,15.314027388117111;918.0,3,17.551692165928046;2745.0,4,9.971115150814391;4092.0,6,16.149849015300305;3801.0,7,9.190805824741377;1075.0,8,4.243571195349503"
3558.0,7.0,0,"[15.0, 16.0, 19.0, 53.0, 61.0, 63.0]","5401.0,1,18.90083758132524;2342.0,2,21.62864191858509;3446.0,3,25.81114760977676;1719.0,4,19.091558008235744;3252.0,5,20.28144870015181;54.0,6,18.87416066795581"
3559.0,29.0,0,"[15.0, 16.0, 19.0, 20.0, 21.0, 22.0, 23.0, 24.0, 25.0, 26.0, 27.0, 28.0, 29.0, 30.0, 31.0, 32.0, 33.0, 34.0, 35.0, 36.0, 37.0, 39.0, 40.0, 41.0, 42.0, 43.0, 44.0, 46.0, 48.0, 49.0, 52.0, 53.0, 55.0, 56.0, 58.0, 59.0, 60.0, 61.0, 62.0, 63.0, 64.0, 65.0, 66.0, 67.0, 68.0, 69.0, 70.0]","1095.0,1,42.22723490215812;569.0,8,42.66666683851636;8734.0,14,33.85282786524967;2542.0,16,30.678493976228932;8858.0,25,32.84168630303431;282.0,27,31.83473313203049"
3560.0,29.0,3,"[15.0, 16.0, 17.0, 18.0, 19.0, 20.0, 21.0, 22.0, 23.0, 24.0, 25.0, 26.0, 27.0, 28.0, 29.0, 30.0, 31.0, 32.0, 33.0, 43.0, 44.0, 45.0, 46.0, 48.0, 49.0, 65.0, 66.0, 67.0, 68.0, 69.0, 70.0, 71.0, 72.0, 73.0, 74.0, 75.0, 76.0, 77.0, 78.0, 80.0, 83.0, 92.0, 93.0, 97.0, 98.0]","1095.0,1,31.11834011364355;569.0,10,34.45768304499386;8734.0,16,25.54139813412155;523.0,19,23.930169890978743;762.0,20,8.21706783727845;1228.0,38,22.018561145845972"
3561.0,8.0,8,"[15.0, 16.0, 17.0, 18.0, 19.0, 20.0, 22.0, 23.0, 28.0, 30.0, 32.0, 33.0, 41.0, 42.0, 43.0, 44.0, 45.0, 47.0, 60.0, 63.0, 64.0, 65.0, 68.0, 69.0, 70.0]","4865.0,1,13.011234999775745;569.0,4,16.301166045198993;1095.0,8,23.01436036316601;910.0,9,18.124156971225336;2542.0,11,3.811848566203023;445.0,27,16.96771578717387;1636.0,28,14.975632876278086"
3562.0,46.0,32,[],"439.0,1,2.1943942403542738;6081.0,15,2.100452840151388;439.0,16,1.7541879549808923;568.0,29,2.187180699004992"
3563.0,57.0,3,"[15.0, 23.0, 56.0]","270.0,1,10.944549760789602;2036.0,2,5.002246748692421;1283.0,3,2.0393175175703124"
3564.0,22.0,28,"[15.0, 17.0, 49.0, 65.0, 68.0, 69.0, 71.0]","1696.0,1,4.68286326640485;1719.0,20,2.993687746151229;3791.0,21,3.3394194381808275;1719.0,31,6.99010240888366;124.0,32,23.2864388737052;127.0,33,19.61547344166729;6284.0,34,15.827854296427091;124.0,35,20.37233225154892"
3565.0,17.0,21,"[15.0, 16.0, 17.0, 18.0, 19.0, 20.0, 21.0, 22.0, 23.0, 24.0, 25.0, 26.0, 27.0, 28.0, 29.0, 30.0, 31.0, 32.0, 37.0, 54.0, 55.0]","2309.0,1,5.0780607796678;542.0,4,15.703356783917194;1435.0,20,19.49722890366475;1734.0,22,2.1449447692910844"
3566.0,4.0,7,[15.0],"7482.0,1,16.666593455717457;4459.0,2,3.044686294737801;305.0,4,1.2727857284319533;5187.0,5,0.8592331422408044;1765.0,6,2.007843387510308"
3567.0,23.0,0,"[15.0, 17.0, 18.0, 19.0, 23.0, 30.0, 31.0, 32.0, 33.0, 34.0, 35.0, 36.0, 37.0, 38.0, 39.0, 40.0, 41.0, 42.0, 44.0, 45.0, 46.0, 47.0, 49.0, 50.0, 51.0, 52.0, 53.0, 54.0, 55.0, 56.0, 58.0, 59.0, 60.0, 61.0, 64.0, 65.0, 66.0, 67.0, 68.0, 69.0, 70.0, 71.0, 72.0, 73.0, 74.0, 76.0, 77.0, 79.0, 80.0, 81.0]","1572.0,1,34.83944129033211;38.0,6,25.434485137894143;1506.0,15,25.789746740094103;38.0,16,25.89195745374939;1506.0,17,26.640142311835028;38.0,18,26.2238021635857;2408.0,26,25.54098584980375;814.0,36,21.3004029213858;2408.0,39,23.60951605965136;814.0,40,25.99163790308589;2836.0,42,24.31783461519855;5145.0,46,23.02626518200588;4678.0,48,15.95935917259211"
