z,y,x,idx
16.952213,227.1126,288.61884,190
16.187244,242.66223,315.92828,191
16.422607,293.49042,363.98224,192
16.72204,359.126,408.35977,193
15.574341,402.3232,290.85126,194
15.43049,459.32297,282.89798,195
15.024451,493.14035,284.2877,196
16.270294,588.5267,339.87592,197
15.890438,610.7015,271.1663,198
16.517399,188.55727,285.29144,199
17.04789,204.87946,312.86276,200
17.255222,277.4693,286.87436,201
16.9998,430.99493,316.99628,202
16.07153,438.32578,306.23492,203
16.711084,555.2128,307.44257,204
17.383535,578.97766,333.1862,205
17.280943,658.2569,274.5934,206
15.848008,694.13965,272.34464,207
17.947138,14.485966,303.945,208
17.873466,146.5414,306.17157,209
17.498804,271.06683,325.88846,210
17.962696,302.22037,385.92343,211
17.743488,416.2785,292.84857,212
17.261684,504.42853,289.86115,213
18.570818,582.3175,277.97034,214
18.596317,598.1621,345.3833,215
18.965153,159.81793,309.6472,216
19.027624,161.87285,288.81107,217
18.688818,297.98727,342.95874,218
18.727713,329.49255,399.86807,219
19.43746,483.55405,436.48367,220
19.16397,522.6116,278.53754,221
18.352737,535.0388,283.47385,222
18.071943,562.98425,313.97366,223
18.71327,578.06573,308.86102,224
18.477077,621.54407,310.289,225
19.566607,668.45575,278.42996,226
20.43413,697.2524,276.36966,227
19.42751,702.98517,397.9916,228
19.528774,225.99915,325.4972,229
20.016518,278.9989,335.72693,230
19.899137,291.83212,388.16296,231
19.456476,545.35583,295.30917,232
16.561453,558.55066,288.8504,233
19.542553,574.1087,374.1997,234
19.897957,575.83826,353.48795,235
20.107052,591.1986,360.82443,236
19.611202,592.1797,286.82452,237
21.087753,592.621,309.94107,238
20.208609,603.67566,332.82977,239
21.018244,614.4594,323.38483,240
19.461973,618.65186,287.51825,241
20.817667,186.62476,319.49835,242
20.729158,212.02715,291.50012,243
21.318396,275.51007,346.6142,244
20.605131,279.6709,369.51453,245
20.078976,285.6052,349.1887,246
21.621046,314.80798,396.1204,247
20.818401,390.9992,293.5876,248
19.25906,452.80887,275.7643,249
21.732851,506.3833,440.7714,250
20.957539,517.00055,291.56158,251
23.029203,528.36694,294.6315,252
20.36542,587.2389,320.4652,253
20.363049,635.90283,293.90918,254
20.999826,681.9943,274.9977,255
22.66249,165.80405,319.27505,256
22.437199,197.77126,323.26828,257
22.03963,247.17291,295.5794,258
21.861073,445.06216,296.8605,259
21.988611,543.3792,284.28976,260
21.155933,563.52234,285.8575,261
22.374556,613.9056,347.10245,262
22.346928,700.0619,295.21698,263
23.24751,234.29941,334.2642,264
22.831995,235.89894,295.95172,265
23.405796,328.54404,300.4234,266
23.248285,399.53806,297.234,267
22.734602,428.67828,295.1368,268
23.54122,577.7622,290.1403,269
23.297356,631.1106,329.37405,270
23.537647,151.84766,296.09296,271
23.833246,168.83287,298.52448,272
24.503496,184.41089,299.39642,273
24.689917,250.88069,345.54504,274
23.765942,348.2353,413.83426,275
23.712208,507.34036,295.4596,276
23.813728,664.075,293.96246,277
24.745068,220.32013,333.12555,278
25.05618,253.7243,301.9953,279
25.028587,603.2393,287.2261,280
24.768469,605.81433,362.2368,281
24.675722,628.27026,345.95135,282
25.652643,636.2275,292.9568,283
24.859516,637.25946,323.83398,284
25.44363,645.9969,289.9986,285
24.817066,671.0274,291.1529,286
26.255426,107.591156,322.8496,287
25.838884,259.07004,360.71707,288
26.497278,264.99905,352.51175,289
26.052454,364.58533,304.92126,290
25.879374,450.1068,300.0087,291
25.457548,476.78494,298.35956,292
25.961191,556.1871,289.86594,293
26.70068,598.36273,382.82675,294
26.533783,607.706,298.2304,295
25.689957,615.6881,359.45624,296
26.140106,702.3937,288.85205,297
25.572409,702.9998,316.74213,298
27.52708,60.51337,307.76807,299
27.39354,171.20844,329.70685,300
26.59734,184.04245,330.2817,301
27.106277,198.55983,334.44135,302
27.99394,258.99884,374.99835,303
26.694874,469.16757,298.73682,304
26.734646,497.31635,299.308,305
26.43849,570.26245,302.1059,306
26.657051,588.13025,381.9748,307
27.03208,619.3416,294.1387,308
26.195953,640.4668,300.38397,309
26.906055,649.40173,321.58258,310
28.106571,177.01869,305.65097,311
27.825424,343.90924,305.36618,312
27.99458,474.5437,442.1532,313
28.273806,535.56256,440.76517,314
28.26492,654.596,296.88187,315
28.959877,198.98758,305.82764,316
28.456898,210.97122,339.5223,317
28.924734,237.19281,351.13474,318
28.740257,312.5049,305.558,319
29.402441,314.10587,408.98413,320
28.998909,409.24237,303.3397,321
29.511538,615.16876,295.7889,322
29.046585,663.2872,319.33044,323
30.439756,79.088196,322.86472,324
30.35176,227.51454,351.4336,325
29.68015,296.56232,308.20328,326
30.793005,542.6103,300.53513,327
33.202446,154.80502,314.54306,328
31.366724,179.673,318.9353,329
30.967024,212.47699,311.05997,330
30.80956,226.78265,309.88068,331
31.157404,593.4003,391.1429,332
31.966187,632.9344,362.05768,333
30.932676,677.0311,299.62616,334
31.647964,179.8569,313.33954,335
32.242573,249.63898,312.71045,336
31.53721,283.63165,313.0851,337
32.543247,351.38742,352.1351,338
32.19714,396.94702,439.21002,339
31.602669,469.13123,455.9853,340
31.547613,531.27765,302.0917,341
32.06346,587.4511,335.6424,342
31.653975,682.15674,311.85214,343
31.131525,695.58905,298.81006,344
32.90562,138.99951,313.24426,345
32.630642,491.51096,306.29346,346
32.813133,569.61615,418.80957,347
33.20572,670.88727,334.99396,348
34.276775,282.7533,350.90094,349
33.803383,373.78888,368.91882,350
34.382973,454.55948,308.61725,351
34.03674,610.4199,384.9999,352
34.07943,678.55023,327.90845,353
34.742855,202.09912,353.54413,354
35.078247,272.312,316.15552,355
35.634876,347.5428,314.1577,356
35.550877,225.45734,369.51318,357
35.768044,259.92255,316.68033,358
35.768654,284.65817,315.32608,359
36.781345,345.60822,428.27747,360
35.99977,363.74448,358.8446,361
35.19797,405.58926,311.1235,362
35.99946,448.99326,298.9955,363
36.172623,619.1037,308.60913,364
36.578697,209.41284,360.3783,365
36.96603,220.79518,320.44168,366
36.187847,329.04498,315.31882,367
36.350597,418.96182,310.65668,368
39.20084,0.0,353.80435,369
37.99956,88.99898,314.99637,370
37.478703,131.85318,336.48148,371
37.095448,181.28181,315.96155,372
38.16378,381.60312,317.97595,373
37.77727,507.00638,310.83777,374
38.760494,554.40845,313.04724,375
38.22501,653.1151,309.35165,376
38.33943,660.05774,356.62415,377
38.89371,144.98122,323.55063,378
38.713905,159.787,345.52106,379
39.20617,165.98273,322.79398,380
38.80341,465.892,314.51614,381
38.98272,539.1126,312.07764,382
39.02272,574.24255,311.22708,383
39.277767,611.84924,392.68842,384
39.26296,692.9384,308.89377,385
40.06859,191.47197,360.34235,386
40.591377,302.2458,336.3282,387
40.25603,320.52542,426.61597,388
39.54653,330.6105,366.52106,389
41.5154,602.0566,313.70737,390
39.56236,687.7137,309.99924,391
40.491116,139.19402,324.92365,392
42.180016,196.18068,328.87314,393
41.580544,184.0646,327.21588,394
41.845097,409.0862,319.8932,395
43.16829,161.63992,353.9054,396
43.613636,233.461,390.3053,397
42.96859,312.22388,326.09467,398
42.069206,626.339,315.0334,399
