,0,1,2,3
193,2,35868,1.96,95.0
194,2,"35419,35868","4.08,2.28",96.0
195,2,35419,1.98,97.0
196,2,35419,2.00,98.0
197,2,35419,2.02,99.0
198,3,395,1.55,1.0
199,3,395,1.50,2.0
200,3,395,1.68,3.0
201,3,395,1.68,4.0
202,3,395,1.58,5.0
203,3,395,1.44,6.0
204,3,395,1.79,7.0
205,3,395,1.74,8.0
206,3,395,1.64,9.0
207,3,395,2.06,10.0
208,3,395,1.70,11.0
209,3,395,1.71,12.0
210,3,395,1.89,13.0
211,3,395,1.84,14.0
212,3,395,1.80,15.0
213,3,395,1.66,16.0
214,3,395,1.66,17.0
215,3,395,1.77,18.0
216,3,395,1.61,19.0
217,3,395,1.75,20.0
218,3,395,1.82,21.0
219,3,395,2.14,22.0
220,3,395,2.36,23.0
221,3,395,2.42,24.0
222,3,395,2.61,25.0
223,3,395,2.69,26.0
224,3,395,2.56,27.0
225,3,395,2.51,28.0
226,3,395,2.75,29.0
227,3,395,2.50,30.0
228,3,395,2.55,31.0
229,3,395,2.59,32.0
230,3,395,2.73,33.0
231,3,395,2.87,34.0
232,3,395,2.87,35.0
233,3,395,2.61,36.0
234,3,395,2.73,37.0
235,3,395,2.94,38.0
236,3,395,2.53,39.0
237,3,395,2.27,40.0
238,3,395,2.06,41.0
239,3,395,1.99,42.0
240,3,395,2.32,43.0
241,3,395,2.49,44.0
242,3,395,2.24,45.0
243,3,395,2.99,46.0
244,3,395,2.29,47.0
245,3,395,1.91,48.0
246,3,395,1.43,49.0
247,3,395,1.39,50.0
248,3,395,1.53,51.0
249,3,395,1.63,52.0
250,3,395,1.53,53.0
251,3,395,1.56,54.0
252,3,395,1.60,55.0
253,3,395,1.48,56.0
254,3,395,1.43,57.0
255,3,395,1.40,58.0
256,3,395,1.39,59.0
257,3,"395,22517","2.25,4.65",60.0
258,3,"395,22517,22998","2.84,4.03,3.68",61.0
259,3,"22517,22998","4.38,2.57",62.0
260,3,"24067,22998","3.59,2.81",63.0
261,3,"24067,24633","2.31,3.61",64.0
262,3,"24067,24633","2.72,3.05",65.0
263,3,"24067,24633","2.80,2.75",66.0
264,3,"24067,24633","2.68,2.93",67.0
265,3,24633,1.94,68.0
266,3,24633,1.72,69.0
267,3,24633,1.53,70.0
268,3,"24067,24633","1.91,3.32",71.0
269,3,24067,1.83,72.0
270,3,"24067,24633","2.49,3.64",73.0
271,3,24067,2.31,74.0
272,3,"24067,22517","2.80,4.92",75.0
273,3,"24067,24637,22517","3.05,4.28,4.93",76.0
274,3,"24067,24637,22517","3.11,4.87,4.50",77.0
275,3,"24067,24637,22517","4.05,4.14,3.36",78.0
276,3,"24067,24637,22517","3.38,3.96,4.37",79.0
277,3,"24067,24637,22517","3.76,4.06,3.23",80.0
278,3,"24067,24637,33115","3.59,4.18,3.87",81.0
279,3,"24067,24637","3.15,3.72",82.0
280,3,"24067,24637","3.28,3.78",83.0
281,3,"24067,24637","3.18,4.03",84.0
282,3,"24067,24637","2.83,3.95",85.0
283,3,"24067,24637","3.10,4.23",86.0
284,3,"24067,24637","4.16,3.04",87.0
285,3,"24067,24637","3.84,3.03",88.0
286,3,"24067,24637","3.05,3.83",89.0
287,3,24067,2.76,90.0
288,3,"24067,24637","3.28,3.64",91.0
289,3,"24067,24637","3.05,3.65",92.0
290,3,"24067,24637","3.49,3.58",93.0
291,3,"24067,24637","4.36,2.65",94.0
292,3,"24067,24637","3.28,2.70",95.0
293,3,"24067,24637","2.61,2.86",96.0
294,3,24067,1.94,97.0
295,3,24067,1.47,98.0
296,3,24067,1.70,99.0
297,4,433,2.81,1.0
298,4,433,2.77,2.0
299,4,433,2.50,3.0
300,4,433,2.34,4.0
301,4,433,2.44,5.0
302,4,433,1.99,6.0
303,4,433,1.86,7.0
304,4,433,1.85,8.0
305,4,433,1.92,9.0
306,4,433,1.86,10.0
307,4,433,1.79,11.0
308,4,433,1.68,12.0
309,4,433,1.87,13.0
310,4,433,1.83,14.0
311,4,433,1.90,15.0
312,4,433,2.44,16.0
313,4,433,1.95,17.0
314,4,433,1.96,18.0
315,4,"6114,433","4.80,2.01",19.0
316,4,"6114,433","4.94,1.42",20.0
317,4,433,1.22,21.0
318,4,6114,2.06,22.0
319,4,6114,1.74,23.0
320,4,6114,1.74,24.0
321,4,6114,1.78,25.0
322,4,6114,1.89,26.0
323,4,6114,1.88,27.0
324,4,6114,1.80,28.0
325,4,6114,1.77,29.0
326,4,6114,1.79,30.0
327,4,6114,1.75,31.0
328,4,6114,1.77,32.0
329,4,6114,1.85,33.0
330,4,6114,1.76,34.0
331,4,6114,1.87,35.0
332,4,"6114,12450","2.07,4.69",36.0
333,4,6114,1.86,37.0
334,4,6114,2.08,38.0
335,4,6114,2.28,39.0
336,4,6114,1.75,40.0
337,4,6114,1.84,41.0
338,4,6114,1.88,42.0
339,4,6114,1.74,43.0
340,4,6114,1.77,44.0
341,4,6114,1.73,45.0
342,4,6114,1.84,46.0
343,4,6114,1.79,47.0
344,4,6114,1.79,48.0
345,4,6114,1.79,49.0
346,4,6114,1.79,50.0
347,4,6114,1.82,51.0
348,4,6114,1.72,52.0
349,4,6114,1.75,53.0
350,4,6114,1.69,54.0
351,4,6114,1.68,55.0
352,4,6114,1.74,56.0
353,4,6114,1.67,57.0
354,4,6114,1.73,58.0
355,4,6114,1.59,59.0
356,4,6114,1.70,60.0
357,4,6114,1.73,61.0
358,4,6114,1.71,62.0
359,4,6114,1.84,63.0
360,4,6114,1.81,64.0
361,4,6114,1.77,65.0
362,4,6114,1.84,66.0
363,4,6114,1.75,67.0
364,4,6114,1.86,68.0
365,4,6114,1.87,69.0
366,4,6114,1.78,70.0
367,4,6114,1.80,71.0
368,4,6114,1.82,72.0
369,4,6114,1.79,73.0
370,4,6114,1.79,74.0
371,4,6114,1.71,75.0
372,4,6114,1.77,76.0
373,4,"6114,31440","3.57,2.36",77.0
374,4,"6114,31440","3.02,3.75",78.0
375,4,"6114,31440","2.75,3.78",79.0
376,4,6114,1.69,80.0
377,4,6114,1.82,81.0
378,4,6114,1.88,82.0
379,4,6114,1.79,83.0
380,4,6114,1.65,84.0
381,4,6114,1.72,85.0
382,4,6114,1.70,86.0
383,4,6114,1.70,87.0
384,4,6114,1.70,88.0
385,4,6114,1.77,89.0
386,4,6114,1.67,90.0
387,4,6114,1.74,91.0
388,4,6114,1.79,92.0
389,4,6114,1.84,93.0
390,4,6114,1.82,94.0
391,4,6114,1.82,95.0
392,4,6114,1.72,96.0
393,4,6114,1.75,97.0
394,4,6114,1.64,98.0
395,4,6114,1.81,99.0
396,5,459,1.88,1.0
397,5,459,1.95,2.0
398,5,459,1.84,3.0
399,5,459,1.81,4.0
400,5,459,1.84,5.0
401,5,459,1.81,6.0
402,5,459,1.87,7.0
403,5,459,1.81,8.0
404,5,459,1.86,9.0
405,5,459,1.91,10.0
406,5,459,1.97,11.0
407,5,459,1.77,12.0
408,5,459,1.93,13.0
409,5,459,1.76,14.0
410,5,459,1.82,15.0
411,5,459,1.94,16.0
412,5,459,2.21,17.0
413,5,459,1.93,18.0
414,5,459,1.99,19.0
415,5,459,2.07,20.0
416,5,459,2.29,21.0
417,5,459,2.02,22.0
418,5,459,2.31,23.0
419,5,459,1.95,24.0
420,5,459,1.93,25.0
421,5,459,1.94,26.0
422,5,459,1.93,27.0
423,5,459,1.78,28.0
424,5,459,1.93,29.0
425,5,459,1.80,30.0
426,5,459,1.81,31.0
427,5,459,1.67,32.0
428,5,459,1.73,33.0
429,5,459,1.72,34.0
430,5,459,1.87,35.0
431,5,459,1.55,36.0
432,5,459,1.62,37.0
433,5,459,1.89,38.0
434,5,459,1.70,39.0
435,5,459,1.91,40.0
436,5,459,1.67,41.0
437,5,459,1.72,42.0
438,5,459,1.49,43.0
439,5,459,1.63,44.0
440,5,459,1.61,45.0
441,5,459,1.67,46.0
442,5,459,1.64,47.0
443,5,459,1.80,48.0
444,5,459,1.73,49.0
445,5,459,1.69,50.0
446,5,459,1.67,51.0
447,5,459,1.76,52.0
448,5,459,1.78,53.0
449,5,459,1.81,54.0
450,5,459,1.81,55.0
451,5,459,1.66,56.0
452,5,459,1.67,57.0
453,5,459,1.89,58.0
454,5,459,1.79,59.0
455,5,459,1.33,60.0
456,5,459,1.44,61.0
457,5,459,1.60,62.0
458,5,"459,24091","2.98,3.62",63.0
459,5,"459,24091","2.63,3.65",64.0
460,5,"459,24091","3.14,3.06",65.0
461,5,459,1.30,66.0
462,5,459,1.14,67.0
463,5,25908,2.13,68.0
464,5,25908,1.51,69.0
465,5,25908,1.75,70.0
466,5,25908,1.55,71.0
467,5,25908,1.53,72.0
468,5,25908,1.27,73.0
469,5,25908,1.04,74.0
470,5,25908,1.44,75.0
471,5,25908,1.61,76.0
472,5,25908,1.40,77.0
473,5,25908,1.73,78.0
474,5,25908,1.76,79.0
475,5,25908,1.70,80.0
476,5,25908,1.54,81.0
477,5,25908,1.54,82.0
478,5,25908,1.39,83.0
479,5,25908,1.56,84.0
480,5,25908,1.29,85.0
481,5,25908,1.28,86.0
482,5,25908,0.97,87.0
483,5,,,88.0
484,5,,,89.0
485,5,,,90.0
486,5,35629,0.90,91.0
487,5,,,92.0
488,5,35629,1.07,93.0
489,5,35629,1.24,94.0
490,5,35629,1.52,95.0
491,5,35629,1.28,96.0
492,5,35629,1.14,97.0
493,5,35629,1.21,98.0
494,5,35629,1.26,99.0
495,6,"477,497","3.34,2.69",1.0
496,6,"461,497","4.08,2.74",2.0
497,6,497,2.05,3.0
498,6,"461,497","2.64,4.14",4.0
499,6,461,1.07,5.0
500,6,461,0.74,6.0
501,6,477,0.98,7.0
502,6,461,0.98,8.0
503,6,461,1.00,9.0
504,6,461,0.73,10.0
505,6,"477,461","3.94,1.97",11.0
506,6,461,1.84,12.0
507,6,"477,461","4.70,1.17",13.0
508,6,"477,461","4.95,1.12",14.0
509,6,"477,461","4.15,1.57",15.0
510,6,"477,461","4.22,1.79",16.0
511,6,"477,461","3.35,2.77",17.0
512,6,"477,461","3.15,2.29",18.0
513,6,477,0.77,19.0
514,6,477,0.92,20.0
515,6,477,1.11,21.0
516,6,477,0.93,22.0
517,6,477,0.90,23.0
518,6,"8942,477","2.48,3.75",24.0
519,6,"8942,477","3.64,3.02",25.0
520,6,"8942,477","4.22,1.85",26.0
521,6,"8942,477","3.69,2.29",27.0
522,6,"8942,477","2.86,2.94",28.0
523,6,8942,1.24,29.0
524,6,8942,1.14,30.0
525,6,8942,1.72,31.0
526,6,8942,1.56,32.0
527,6,8942,1.54,33.0
528,6,8942,1.50,34.0
529,6,8942,1.39,35.0
530,6,8942,1.47,36.0
531,6,8942,1.34,37.0
532,6,8942,1.30,38.0
533,6,8942,1.26,39.0
534,6,8942,1.30,40.0
535,6,8942,1.27,41.0
536,6,8942,1.37,42.0
537,6,8942,1.44,43.0
538,6,8942,1.53,44.0
539,6,8942,1.43,45.0
540,6,8942,1.36,46.0
541,6,8942,1.33,47.0
542,6,8942,1.42,48.0
543,6,8942,1.55,49.0
544,6,8942,1.68,50.0
545,6,8942,1.74,51.0
546,6,8942,1.75,52.0
547,6,8942,1.46,53.0
548,6,8942,1.47,54.0
549,6,8942,1.55,55.0
550,6,8942,1.56,56.0
551,6,8942,0.77,57.0
552,6,"8942,20314","1.31,4.82",58.0
553,6,8942,0.94,59.0
554,6,8942,0.93,60.0
555,6,8942,1.15,61.0
556,6,8942,1.66,62.0
557,6,8942,1.88,63.0
558,6,8942,1.68,64.0
559,6,8942,1.96,65.0
560,6,8942,1.90,66.0
561,6,8942,1.80,67.0
562,6,8942,1.79,68.0
563,6,8942,1.69,69.0
564,6,8942,1.41,70.0
565,6,8942,1.17,71.0
566,6,8942,1.54,72.0
567,6,8942,1.36,73.0
568,6,8942,1.12,74.0
569,6,8942,1.16,75.0
570,6,8942,1.28,76.0
571,6,8942,0.71,77.0
572,6,8942,1.16,78.0
573,6,8942,1.30,79.0
574,6,8942,1.37,80.0
575,6,8942,1.65,81.0
576,6,"8942,33503","3.36,0.63",82.0
577,6,33503,1.43,83.0
578,6,33503,1.36,84.0
579,6,,,85.0
580,6,33503,1.90,86.0
581,6,33503,1.86,87.0
582,6,33503,1.70,88.0
583,6,33503,1.97,89.0
584,6,33503,1.97,90.0
585,6,33503,1.69,91.0
586,6,33503,1.68,92.0
587,6,33503,1.85,93.0
588,6,33503,2.25,94.0
589,6,33503,2.61,95.0
590,6,,,96.0
591,6,33503,2.28,97.0
592,6,33503,2.24,98.0
593,6,33503,1.99,99.0
594,7,485,1.31,1.0
595,7,485,1.31,2.0
596,7,485,1.31,3.0
597,7,485,1.42,4.0
598,7,485,1.26,5.0
599,7,485,1.44,6.0
600,7,485,1.34,7.0
601,7,485,1.29,8.0
602,7,485,1.09,9.0
603,7,485,1.06,10.0
604,7,485,0.92,11.0
605,7,485,1.07,12.0
606,7,485,1.03,13.0
607,7,485,0.83,14.0
608,7,485,1.17,15.0
609,7,485,1.60,16.0
610,7,485,1.13,17.0
611,7,485,1.56,18.0
612,7,"485,443","1.95,4.84",19.0
613,7,"485,443","1.91,4.88",20.0
614,7,485,1.86,21.0
615,7,485,1.71,22.0
616,7,"485,443","1.94,4.58",23.0
617,7,485,2.04,24.0
