ID (Dino),Track Length (Dino),Track Coverage,Missing Time Points,CME Data
13.0,41.0,0,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 16.0, 17.0, 18.0, 19.0, 20.0, 21.0, 22.0, 23.0, 24.0, 25.0, 26.0, 27.0, 28.0, 29.0, 30.0, 31.0, 32.0, 33.0, 34.0, 35.0, 36.0, 37.0, 38.0, 39.0, 40.0, 41.0, 58.0]","2184.0,1,11.0;3872.0,4,5.0;3887.0,6,5.0;2184.0,11,11.0;2217.0,12,11.0;837.0,14,25.0;808.0,15,26.0;1243.0,34,19.0;808.0,37,26.0;1243.0,40,19.0;978.0,41,23.0"
14.0,52.0,0,"[1.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 15.0, 16.0, 33.0, 35.0, 36.0, 37.0, 38.0, 39.0, 40.0, 41.0, 42.0, 43.0, 44.0, 45.0, 46.0, 47.0, 48.0, 49.0, 50.0, 51.0, 52.0, 53.0, 54.0, 55.0, 56.0, 57.0, 58.0, 63.0, 67.0, 70.0, 72.0, 81.0, 82.0, 84.0, 85.0, 86.0, 87.0, 88.0, 90.0, 91.0, 92.0, 93.0, 95.0, 96.0, 99.0]","837.0,1,25.0;808.0,10,26.0;978.0,17,23.0;1779.0,35,14.0;3021.0,37,8.0;889.0,38,25.0;4873.0,51,4.0"
15.0,46.0,0,"[1.0, 2.0, 3.0, 5.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 17.0, 18.0, 19.0, 20.0, 22.0, 27.0, 28.0, 29.0, 30.0, 31.0, 32.0, 33.0, 34.0, 35.0, 36.0, 37.0, 41.0, 42.0, 43.0, 44.0, 45.0, 46.0, 47.0, 48.0, 49.0, 50.0, 64.0, 65.0, 66.0, 67.0, 68.0, 69.0, 71.0, 72.0]","837.0,1,25.0;369.0,18,41.0;5158.0,27,3.0;1172.0,29,20.0;978.0,31,23.0;1027.0,34,22.0;2733.0,39,9.0;1027.0,40,22.0;877.0,43,25.0;889.0,45,25.0"
16.0,46.0,2,"[1.0, 2.0, 3.0, 39.0, 40.0, 42.0, 44.0, 46.0, 47.0, 48.0, 55.0, 56.0, 57.0, 58.0, 59.0, 60.0, 61.0, 62.0, 63.0, 65.0, 66.0, 67.0, 68.0, 69.0, 70.0, 72.0, 73.0, 75.0, 76.0, 77.0, 78.0, 79.0, 80.0, 81.0, 82.0, 91.0, 92.0, 93.0, 94.0, 95.0, 96.0, 97.0, 98.0, 99.0]","837.0,1,25.0;860.0,4,25.0;553.0,8,33.0;860.0,11,25.0;553.0,13,33.0;994.0,31,23.0;1058.0,38,22.0"
17.0,47.0,0,"[1.0, 2.0, 46.0, 48.0, 52.0, 53.0, 54.0, 55.0, 56.0, 57.0, 58.0, 59.0, 60.0, 61.0, 62.0, 63.0, 64.0, 68.0, 69.0, 70.0, 71.0, 72.0, 73.0, 74.0, 75.0, 76.0, 77.0, 78.0, 79.0, 80.0, 81.0, 82.0, 83.0, 84.0, 85.0, 86.0, 87.0, 88.0, 89.0, 90.0, 91.0, 92.0, 93.0, 94.0, 97.0, 98.0, 99.0]","407.0,1,39.0;390.0,2,40.0;68.0,3,79.0;225.0,4,52.0;6130.0,30,2.0;225.0,32,52.0"
18.0,23.0,5,"[1.0, 2.0, 3.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 19.0, 20.0, 21.0, 22.0]","1477.0,1,16.0;72.0,15,78.0;3423.0,19,7.0"
19.0,45.0,2,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 29.0, 30.0, 31.0, 32.0, 33.0, 34.0, 35.0, 36.0, 37.0, 38.0, 39.0, 40.0, 41.0, 42.0, 43.0, 44.0, 45.0, 46.0, 50.0, 53.0, 54.0, 59.0, 69.0, 76.0, 78.0, 79.0, 95.0]","2184.0,1,11.0;3872.0,4,5.0;4357.0,7,4.0;2184.0,11,11.0;2217.0,12,11.0;808.0,15,26.0;437.0,17,38.0;1243.0,28,19.0;437.0,30,38.0;1243.0,31,19.0;236.0,35,51.0;1243.0,36,19.0;236.0,37,51.0;1119.0,39,21.0;4747.0,42,4.0;2364.0,43,11.0"
20.0,26.0,0,"[1.0, 2.0, 3.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 19.0, 46.0, 47.0, 48.0, 49.0, 50.0, 51.0, 53.0, 54.0, 55.0, 56.0, 59.0, 60.0, 61.0, 62.0, 63.0, 64.0]","2184.0,1,11.0;3872.0,4,5.0;4357.0,8,4.0;808.0,10,26.0;1243.0,11,19.0;4060.0,18,5.0;236.0,20,51.0;437.0,21,38.0;236.0,23,51.0"
21.0,56.0,0,"[1.0, 3.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 22.0, 24.0, 25.0, 28.0, 29.0, 30.0, 33.0, 34.0, 35.0, 36.0, 37.0, 38.0, 39.0, 40.0, 41.0, 42.0, 43.0, 44.0, 45.0, 46.0, 47.0, 48.0, 49.0, 53.0, 54.0, 55.0, 56.0, 57.0, 58.0, 59.0, 60.0, 61.0, 62.0, 64.0, 65.0, 66.0, 67.0, 79.0, 80.0, 81.0, 82.0]","231.0,1,51.0;860.0,21,25.0;877.0,41,25.0;2733.0,42,9.0;553.0,50,33.0;1058.0,53,22.0"
22.0,55.0,0,"[1.0, 3.0, 16.0, 18.0, 19.0, 20.0, 21.0, 22.0, 23.0, 24.0, 25.0, 26.0, 27.0, 28.0, 29.0, 31.0, 32.0, 33.0, 46.0, 57.0, 58.0, 59.0, 60.0, 61.0, 62.0, 63.0, 64.0, 65.0, 66.0, 67.0, 68.0, 69.0, 70.0, 71.0, 72.0, 73.0, 74.0, 75.0, 76.0, 77.0, 80.0, 81.0, 82.0, 83.0, 84.0, 87.0, 88.0, 89.0, 90.0, 91.0, 93.0, 94.0, 95.0, 97.0, 98.0]","368.0,1,41.0;1080.0,3,21.0;616.0,4,30.0;480.0,13,36.0;418.0,16,39.0;2270.0,19,11.0;480.0,20,36.0;2317.0,26,11.0;4685.0,31,4.0;2317.0,35,11.0;532.0,36,34.0;939.0,39,24.0;2365.0,53,11.0"
23.0,9.0,0,"[1.0, 2.0, 3.0, 5.0, 7.0, 12.0, 14.0, 15.0, 19.0]","491.0,1,35.0"
24.0,7.0,0,"[1.0, 5.0, 6.0, 9.0, 10.0, 11.0, 12.0]","1375.0,1,17.0;4971.0,4,3.0;1375.0,5,17.0"
25.0,3.0,0,"[1.0, 2.0, 3.0]","4282.0,1,4.0"
26.0,37.0,0,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0, 21.0, 22.0, 23.0, 24.0, 25.0, 26.0, 27.0, 29.0, 34.0, 35.0, 36.0, 37.0, 38.0, 39.0, 41.0, 42.0, 43.0]","4926.0,1,3.0;265.0,4,48.0;2883.0,13,8.0;265.0,21,48.0;4025.0,36,5.0"
27.0,11.0,0,"[1.0, 2.0, 3.0, 4.0, 5.0, 7.0, 18.0, 19.0, 20.0, 22.0, 23.0]","2184.0,1,11.0;3872.0,4,5.0;3887.0,6,5.0;808.0,7,26.0"
28.0,84.0,0,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0, 21.0, 22.0, 23.0, 32.0, 33.0, 34.0, 35.0, 36.0, 37.0, 38.0, 39.0, 40.0, 41.0, 42.0, 43.0, 44.0, 45.0, 46.0, 47.0, 48.0, 49.0, 50.0, 51.0, 52.0, 53.0, 54.0, 55.0, 56.0, 57.0, 58.0, 59.0, 60.0, 61.0, 62.0, 63.0, 64.0, 65.0, 66.0, 67.0, 68.0, 69.0, 72.0, 73.0, 74.0, 75.0, 76.0, 77.0, 78.0, 79.0, 80.0, 81.0, 82.0, 84.0, 85.0, 86.0, 87.0, 92.0, 93.0, 94.0, 95.0, 96.0, 97.0, 98.0, 99.0]","837.0,1,25.0;369.0,24,41.0;5158.0,28,3.0;1172.0,31,20.0;369.0,32,41.0;1172.0,34,20.0;978.0,35,23.0;1027.0,38,22.0;978.0,39,23.0;1027.0,41,22.0;978.0,42,23.0;1027.0,43,22.0;978.0,44,23.0;1027.0,45,22.0;978.0,49,23.0;2733.0,54,9.0;5289.0,56,3.0;1027.0,57,22.0;877.0,60,25.0;889.0,62,25.0;4873.0,81,4.0"
29.0,65.0,0,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 27.0, 28.0, 29.0, 30.0, 31.0, 32.0, 33.0, 34.0, 35.0, 36.0, 37.0, 38.0, 39.0, 40.0, 41.0, 42.0, 43.0, 44.0, 45.0, 46.0, 47.0, 48.0, 49.0, 50.0, 51.0, 52.0, 53.0, 54.0, 55.0, 56.0, 57.0, 58.0, 59.0, 60.0, 61.0, 62.0, 63.0, 64.0, 65.0, 66.0, 67.0, 68.0, 69.0, 70.0, 73.0, 75.0, 77.0, 78.0, 93.0, 94.0, 95.0, 96.0, 97.0, 98.0, 99.0]","231.0,1,51.0;837.0,3,25.0;369.0,11,41.0;808.0,12,26.0;978.0,25,23.0;1243.0,26,19.0;978.0,31,23.0;4060.0,35,5.0;1779.0,40,14.0;3021.0,54,8.0;5360.0,57,3.0;889.0,58,25.0;114.0,59,68.0;5513.0,65,3.0"
30.0,13.0,0,"[1.0, 5.0, 66.0, 67.0, 68.0, 69.0, 71.0, 72.0, 73.0, 74.0, 76.0, 77.0, 80.0]","616.0,1,30.0;2856.0,2,8.0;532.0,3,34.0;398.0,9,40.0;5362.0,11,3.0;939.0,13,24.0"
31.0,65.0,0,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 20.0, 21.0, 22.0, 23.0, 24.0, 25.0, 26.0, 27.0, 28.0, 29.0, 30.0, 31.0, 32.0, 33.0, 34.0, 35.0, 36.0, 37.0, 38.0, 39.0, 40.0, 41.0, 42.0, 43.0, 44.0, 51.0, 52.0, 53.0, 54.0, 55.0, 56.0, 57.0, 58.0, 59.0, 60.0, 61.0, 62.0, 63.0, 64.0, 65.0, 66.0, 67.0, 68.0, 69.0, 70.0, 71.0, 87.0, 91.0, 98.0]","491.0,1,35.0;407.0,33,39.0;305.0,37,45.0;225.0,42,52.0"
32.0,18.0,0,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 8.0, 14.0, 16.0, 17.0, 18.0, 19.0, 25.0, 26.0, 27.0, 28.0, 29.0, 30.0]","3827.0,1,5.0;4941.0,2,3.0;4951.0,5,3.0;2632.0,6,9.0;3168.0,9,7.0;760.0,13,27.0;5802.0,18,2.0"
33.0,48.0,0,"[1.0, 2.0, 3.0, 5.0, 6.0, 7.0, 8.0, 9.0, 18.0, 19.0, 22.0, 23.0, 28.0, 29.0, 30.0, 31.0, 32.0, 33.0, 34.0, 35.0, 36.0, 37.0, 38.0, 39.0, 40.0, 41.0, 42.0, 43.0, 44.0, 45.0, 47.0, 55.0, 56.0, 57.0, 58.0, 68.0, 69.0, 70.0, 71.0, 72.0, 73.0, 74.0, 75.0, 76.0, 77.0, 91.0, 93.0, 94.0]","3109.0,1,7.0;3878.0,7,5.0;1873.0,9,13.0;2659.0,11,9.0;466.0,16,36.0;975.0,20,23.0;365.0,35,42.0;1546.0,43,16.0;365.0,44,42.0"
34.0,46.0,1,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 20.0, 22.0, 23.0, 28.0, 29.0, 30.0, 31.0, 32.0, 34.0, 35.0, 36.0, 37.0, 39.0, 40.0, 41.0, 42.0, 43.0, 44.0, 45.0, 46.0, 47.0, 48.0, 49.0, 57.0, 58.0, 59.0, 61.0, 62.0, 63.0, 64.0, 65.0, 66.0, 67.0, 68.0, 69.0, 70.0, 73.0]","2183.0,1,11.0;838.0,9,25.0;856.0,12,25.0;204.0,27,54.0;5906.0,28,2.0;204.0,30,54.0;4077.0,32,5.0;2306.0,33,11.0;1670.0,43,15.0;296.0,46,46.0"
35.0,4.0,0,"[1.0, 2.0, 5.0, 6.0]","2183.0,1,11.0;1061.0,2,21.0"
36.0,43.0,0,"[1.0, 2.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 32.0, 33.0, 34.0, 36.0, 37.0, 40.0, 45.0, 46.0, 48.0, 49.0, 53.0, 54.0, 55.0, 56.0, 57.0, 58.0, 59.0, 60.0, 61.0, 62.0, 63.0, 64.0, 65.0, 68.0, 70.0, 71.0, 76.0, 77.0, 79.0, 80.0, 81.0, 82.0]","1061.0,1,21.0;856.0,12,25.0;273.0,14,47.0;3239.0,15,7.0;273.0,18,47.0;296.0,20,46.0;1032.0,22,22.0;4077.0,24,5.0;2306.0,29,11.0;296.0,35,46.0;3354.0,37,7.0;296.0,38,46.0"
37.0,30.0,0,"[1.0, 2.0, 3.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 23.0, 24.0, 25.0, 26.0, 27.0, 28.0, 31.0, 32.0, 33.0, 34.0, 35.0, 36.0, 37.0, 38.0, 39.0, 67.0, 68.0, 95.0, 97.0, 98.0, 99.0]","1061.0,1,21.0;213.0,10,53.0;5786.0,15,2.0;213.0,16,53.0;2480.0,23,10.0;2522.0,25,10.0;1983.0,27,13.0"
38.0,2.0,0,"[1.0, 2.0]","4282.0,1,4.0;213.0,2,53.0"
