ID (CME),Missing Time Points,ID (Dino),x (CME),y (CME),z (CME),x (Dino),y (Dino),z (Dino),t,t_start (CME),t_start (Dino),FI (CME),FI (Dino),Track Length (CME),Track Length (Dino),Distance
30.0,64,23731.0,414.78,198.23,77.288,398.62057,205.45761,84.98216,64.0,1.0,62.0,35.271,134.09485,99.0,8.0,19.301959028621926
30.0,65,10437.0,415.2,199.49,77.723,401.18802,185.23637,65.26007,65.0,1.0,30.0,39.405,113.04223,99.0,40.0,23.55474847843212
30.0,66,23731.0,414.02,199.58,76.735,398.68695,205.01251,86.43692,66.0,1.0,62.0,37.258,88.14875,99.0,8.0,18.940481485141778
30.0,67,23731.0,414.25,199.58,76.677,398.8337,205.17433,86.233215,67.0,1.0,62.0,33.379,116.92053,99.0,8.0,18.98104525480944
30.0,68,23731.0,413.89,199.81,76.794,398.37006,205.87123,86.45733,68.0,1.0,62.0,30.434,108.19012,99.0,8.0,19.261022646926065
30.0,69,23731.0,413.17,201.52,75.93,398.89337,205.98288,86.60182,69.0,1.0,62.0,35.001,93.722565,99.0,8.0,18.37463480354644
30.0,70,23731.0,414.34,200.88,77.677,399.99658,205.99825,85.99927,70.0,1.0,62.0,24.245,160.30127,99.0,8.0,17.35483674114509
30.0,71,26491.0,414.12,202.07,77.041,400.08975,190.4805,66.374016,71.0,1.0,68.0,30.211,131.58902,99.0,4.0,21.093813618422733
30.0,72,10437.0,413.51,202.6,76.706,399.47748,191.54254,64.14943,72.0,1.0,30.0,32.776,111.64364,99.0,40.0,21.836815000519177
30.0,73,29671.0,414.16,203.73,76.176,384.43253,200.55864,74.487465,73.0,1.0,73.0,32.972,110.358315,99.0,8.0,29.94379981393022
30.0,74,29671.0,413.59,204.64,75.898,384.3351,202.07909,75.54688,74.0,1.0,73.0,37.896,86.97126,99.0,8.0,29.368873306487224
30.0,75,29671.0,412.97,205.34,74.598,384.7671,200.49455,75.46449,75.0,1.0,73.0,36.703,96.92409,99.0,8.0,28.62922910300939
30.0,76,29671.0,413.71,205.72,74.906,384.63986,200.93088,75.694435,76.0,1.0,73.0,36.323,105.10451,99.0,8.0,29.472535346373306
30.0,78,28602.0,412.07,207.14,73.773,417.99515,190.9978,85.99901,78.0,1.0,71.0,39.685,91.7249,99.0,4.0,21.09865739526095
30.0,88,16206.0,412.72,214.53,72.672,397.61975,245.73184,85.603065,88.0,1.0,48.0,46.609,139.88116,99.0,44.0,36.997091932776634
30.0,89,16206.0,412.45,214.54,74.634,397.2431,246.04121,85.7695,89.0,1.0,48.0,30.73,85.40345,99.0,44.0,36.70933667780037
30.0,90,16206.0,412.47,215.56,77.755,397.18124,245.84448,85.46814,90.0,1.0,48.0,21.344,176.3025,99.0,44.0,34.790637244344936
30.0,91,16206.0,413.5,215.84,74.984,396.81216,246.0372,85.253105,91.0,1.0,48.0,28.857,107.57693,99.0,44.0,35.99735280831947
30.0,92,16206.0,413.77,216.13,74.068,397.00464,246.01277,84.76474,92.0,1.0,48.0,32.536,101.854416,99.0,44.0,35.895368579109196
30.0,93,16206.0,414.04,216.32,75.086,396.7067,245.97986,85.14545,93.0,1.0,48.0,41.161,119.16215,99.0,44.0,35.79585336896022
30.0,94,25049.0,413.36,216.75,74.583,376.2691,204.09465,71.87159,94.0,1.0,65.0,35.816,96.867744,99.0,35.0,39.28415062872815
30.0,95,25049.0,413.84,217.66,75.027,376.46707,203.96509,71.32521,95.0,1.0,65.0,40.947,136.56873,99.0,35.0,39.9748634256216
30.0,96,25049.0,413.75,217.85,74.795,376.20932,204.39534,71.57578,96.0,1.0,65.0,36.051,94.32887,99.0,35.0,40.008672909588
30.0,97,25049.0,413.66,218.64,77.082,375.91898,204.51743,71.516174,97.0,1.0,65.0,35.206,128.23448,99.0,35.0,40.67935585905435
30.0,98,37249.0,413.05,218.37,76.251,404.51654,220.87798,87.98241,98.0,1.0,98.0,35.334,144.92773,99.0,1.0,14.721952446605028
30.0,99,25049.0,413.67,218.11,78.217,376.5484,203.66875,71.367134,99.0,1.0,65.0,32.765,177.26064,99.0,35.0,40.41637727877719
31.0,6,2188.0,320.23,631.11,46.92,322.19818,628.66,49.090347,6.0,1.0,3.0,268.64,177.74173,99.0,45.0,3.8192458172797767
31.0,73,413.0,322.55,633.26,41.73,319.01645,632.4997,44.306328,73.0,1.0,1.0,57.506,158.53221,99.0,91.0,4.438636914198318
31.0,93,35871.0,316.71,628.02,40.00999999999999,314.55145,627.6699,43.64307,93.0,1.0,92.0,62.283,122.91265,99.0,8.0,4.240413392276753
32.0,1,543.0,349.07,663.68,65.93,345.23672,665.52106,64.84811,1.0,1.0,1.0,207.24,127.83692,99.0,43.0,4.387940684888565
32.0,4,557.0,349.47,660.19,65.53,347.7581,656.72205,65.44181,4.0,1.0,1.0,271.2,353.53705,99.0,9.0,3.8684695020900257
32.0,6,543.0,348.49,662.9,64.76,345.32272,664.4144,64.412735,6.0,1.0,1.0,210.71,182.78207,99.0,43.0,3.527841115841969
33.0,58,9731.0,315.3,208.51,23.44,315.80762,207.66457,19.358423,58.0,1.0,27.0,82.996,111.909,98.0,33.0,4.199011878552971
33.0,59,21042.0,317.24,209.27,23.94999999999999,322.1651,209.2835,22.45675,59.0,1.0,58.0,55.094,284.3002,98.0,13.0,5.146512199781501
33.0,73,29641.0,322.6,214.68,24.22,320.48126,211.99947,21.521082,73.0,1.0,73.0,56.563,96.80713,98.0,22.0,4.354131215205167
33.0,74,29641.0,322.46,214.87,23.789999999999992,321.29996,212.58008,20.983723,74.0,1.0,73.0,64.495,155.96571,98.0,22.0,3.8032377007924287
33.0,75,29641.0,323.41,214.49,24.25,322.27112,212.67793,21.203777,75.0,1.0,73.0,53.626,96.687256,98.0,22.0,3.7229181974667527
33.0,76,29641.0,324.27,215.68,24.40000000000001,322.38495,213.77654,21.517561,76.0,1.0,73.0,66.052,88.8867,98.0,22.0,3.9351020396961665
33.0,78,29641.0,323.85,216.96,24.340000000000003,322.34634,215.52325,21.170452,78.0,1.0,73.0,64.934,111.00551,98.0,22.0,3.7909469110506073
33.0,85,29641.0,324.23,222.17,22.44999999999999,322.80484,219.97383,20.027622,85.0,1.0,73.0,83.633,124.94646,98.0,22.0,3.5668135456432166
33.0,92,29641.0,323.94,225.52,21.74000000000001,323.73312,222.2948,20.242128,92.0,1.0,73.0,63.493,111.48166,98.0,22.0,3.562068907641181
33.0,96,28462.0,324.16,227.45,23.09999999999999,334.6963,234.51898,23.514175,96.0,1.0,71.0,47.642,158.67116,98.0,28.0,12.694709010490346
33.0,97,28462.0,326.48,226.1,25.289999999999992,335.02246,234.77075,23.490248,97.0,1.0,71.0,23.345,107.84771,98.0,28.0,12.3042527475505
33.0,98,37196.0,327.17,226.37,25.22999999999999,333.9886,219.73988,25.99823,98.0,1.0,98.0,35.846,93.09251,98.0,1.0,9.541591822505309
34.0,3,257.0,300.63,90.562,24.30000000000001,297.2257,89.43166,23.90015,3.0,1.0,1.0,166.54,200.94551,98.0,19.0,3.609266826946973
34.0,4,257.0,300.6,91.232,24.02000000000001,297.47647,89.70633,22.908655,4.0,1.0,1.0,187.44,351.0156,98.0,19.0,3.6495474128753473
34.0,5,257.0,301.72,90.522,24.53,298.30927,89.64308,23.276962,5.0,1.0,1.0,197.2,222.55719,98.0,19.0,3.738406576169053
34.0,57,18049.0,307.17,100.88,25.74000000000001,303.81516,99.4311,25.838316,57.0,1.0,53.0,145.36,97.32913,98.0,33.0,3.655670755341097
34.0,89,26422.0,311.5,108.99,29.02000000000001,307.96356,106.365074,29.622614,89.0,1.0,68.0,81.073,140.71002,98.0,22.0,4.445198309645152
